线路名称,站点名称,经度,纬度
1号线,西塱,113.231978,23.065437
1号线,坑口,113.232498,23.078878
1号线,花地湾,113.234030,23.087055
1号线,芳村,113.235703,23.098592
1号线,黄沙,113.239856,23.110524
1号线,长寿路,113.242271,23.118402
1号线,陈家祠,113.246439,23.125727
1号线,西门口,113.255830,23.125219
1号线,公园前,113.264315,23.125446
1号线,农讲所,113.275602,23.126623
1号线,烈士陵园,113.285663,23.126704
1号线,东山口,113.295373,23.123980
1号线,杨箕,113.308877,23.128137
1号线,体育西路,113.321503,23.131138
1号线,体育中心,113.328376,23.134970
1号线,广州东站,113.324493,23.151077
佛山2号线,广州南站,113.269815,22.988773
佛山2号线,林岳东(2号线),113.249693,22.993909
佛山2号线,林岳西,113.237161,22.993744
佛山2号线,石洲,113.216131,22.990593
佛山2号线,仙涌,113.198254,22.983006
佛山2号线,花卉世界,113.161350,22.973388
佛山2号线,登洲,113.148863,22.979296
佛山2号线,湾华,113.131767,22.992076
佛山2号线,石梁,113.118747,22.992691
佛山2号线,魁奇路,113.108612,22.993964
佛山2号线,沙岗,113.094247,22.996518
佛山2号线,石湾,113.083286,23.005298
佛山2号线,张槎,113.067748,23.011037
佛山2号线,智慧新城,113.055418,23.011163
佛山2号线,绿岛湖,113.034239,23.001982
佛山2号线,湖涌,113.011388,23.002970
佛山2号线,南庄,113.006550,22.982952
2号线,广州南站,113.269815,22.988773
2号线,石壁,113.277964,22.994136
2号线,会江,113.286394,23.013047
2号线,南浦,113.293154,23.032929
2号线,洛溪,113.298665,23.042896
2号线,南洲,113.297367,23.064799
2号线,东晓南,113.294174,23.071333
2号线,江泰路,113.280570,23.082231
2号线,昌岗,113.276885,23.090654
2号线,江南西,113.273918,23.097214
2号线,市二宫,113.269890,23.105996
2号线,海珠广场,113.265344,23.114796
2号线,公园前,113.264315,23.125446
2号线,纪念堂,113.263431,23.132179
2号线,越秀公园,113.261366,23.140041
2号线,广州火车站,113.256603,23.148143
2号线,三元里,113.256851,23.159402
2号线,飞翔公园,113.263752,23.168915
2号线,白云公园,113.270966,23.181613
2号线,白云文化广场,113.275602,23.189574
2号线,萧岗,113.280697,23.198580
2号线,江夏,113.283451,23.211301
2号线,黄边,113.287376,23.221645
2号线,嘉禾望岗,113.289243,23.237460
3号线,海傍,113.475352,22.939553
3号线,海涌路,113.457735,22.942013
3号线,石碁南,113.439881,22.938109
3号线,傍江,113.409637,22.936782
3号线,番禺广场,113.385642,22.935482
3号线,市桥,113.361726,22.949743
3号线,汉溪长隆,113.329955,22.992812
3号线,大石,113.321744,23.017761
