,线网客运量,月,日
2024,835,12,23
2024,882,12,22
2024,1047.2,12,21
2024,903.7,12,20
2024,889.4,12,19
2024,883.9,12,18
2024,891.5,12,17
2024,817.1,12,16
2024,892.1,12,15
2024,1001.6,12,14
2024,883.3,12,13
2024,882.3,12,12
2024,877,12,11
2024,891.9,12,10
2024,851.3,12,9
2024,943.2,12,8
2024,1041.5,12,7
2024,905.5,12,6
2024,885.4,12,5
2024,895.3,12,4
2024,905.5,12,3
2024,884.5,12,2
2024,948.2,12,1
2024,1043.7,11,30
2024,914.7,11,29
2024,905.3,11,28
2024,891.5,11,27
2024,871.1,11,26
2024,856.8,11,25
2024,959.9,11,24
2024,1061.7,11,23
2024,913.6,11,22
2024,851.9,11,21
2024,874,11,20
2024,920.6,11,19
2024,863,11,18
2024,915.7,11,17
2024,1019.9,11,16
2024,892.3,11,15
2024,894.2,11,14
2024,893.3,11,13
2024,902.6,11,12
2024,858,11,11
2024,940.7,11,10
2024,1041.8,11,9
2024,898.9,11,8
2024,889.4,11,7
2024,888,11,6
2024,907.9,11,5
2024,850.7,11,4
2024,944,11,3
2024,1074.8,11,2
2024,923.3,11,1
2024,889.1,10,30
2024,899.6,10,29
2024,932.9,10,27
2024,1047,10,26
2024,898.2,10,23
2024,1051.1,10,19
2024,919.8,10,18
2024,908.2,10,16
2024,893.7,10,15
2024,791.3,10,14
2024,969.1,10,13
2024,915.4,10,12
2024,894.5,10,11
2024,887.6,10,10
2024,896.9,10,9
2024,818.1,10,8
2024,812.5,10,7
2024,808.2,10,6
2024,811.7,10,5
2024,855.8,10,4
2024,923,10,3
2024,937.1,10,2
2024,1077.7,10,1
2024,902.9,9,30
2024,774.7,9,29
2024,964.3,9,28
2024,896.2,9,27
2024,885.4,9,26
2024,855.3,9,25
2024,872.8,9,24
2024,738,9,23
2024,790.3,9,22
2024,970.7,9,21
2024,879.1,9,20
2024,915.7,9,19
2024,857.5,9,18
2024,876,9,17
2024,894.7,9,16
2024,1013.2,9,15
2024,901.2,9,14
2024,889.6,9,13
2024,890.1,9,12
2024,887.7,9,11
2024,884.8,9,10
2024,733.7,9,9
2024,745.6,9,8
2024,901.7,9,7
2024,899.6,9,6
2024,896.6,9,5
2024,887.3,9,4
2024,878.8,9,3
2024,753.8,9,2
2024,826.9,9,1
2024,992.8,8,31
2024,921.2,8,30
2024,938,8,29
2024,959.7,8,28
2024,971.4,8,27
2024,829.1,8,26
2024,911.9,8,25
2024,1036.4,8,24
2024,947.9,8,23
2024,871.5,8,22
2024,944.7,8,21
2024,938.5,8,20
2024,741.1,8,19
2024,732.3,8,18
2024,1010.4,8,17
2024,924.8,8,16
2024,937.2,8,15
2024,970.4,8,14
2024,963.8,8,13
2024,765.5,8,12
2024,893.8,8,11
2024,1019,8,10
2024,974,8,9
2024,959.4,8,8
2024,953.6,8,7
2024,973.7,8,6
2024,840.8,8,5
2024,902.5,8,4
2024,1029.7,8,3
2024,989.7,8,2
2024,983.1,8,1
2024,972.1,7,31
2024,968.8,7,30
2024,713.7,7,29
2024,736.4,7,28
2024,989.9,7,27
2024,977.4,7,26
2024,996.5,7,25
2024,1003.5,7,24
2024,1009.4,7,23
2024,875.6,7,22
2024,909.6,7,21
2024,1067,7,20
2024,999.9,7,18
2024,995.7,7,17
2024,830.1,7,15
2024,892.2,7,14
2024,1042.2,7,13
2024,996,7,12
2024,1011.3,7,11
2024,1003.9,7,10
2024,999.4,7,9
2024,795.2,7,8
2024,875.4,7,7
2024,1042.5,7,6
2024,938.8,7,5
2024,937.2,7,4
2024,919.6,7,3
2024,930.1,7,2
2024,769.5,7,1
2024,846.4,6,30
2024,1017,6,29
2024,927.7,6,28
2024,915.4,6,27
2024,898,6,26
2024,910.6,6,25
2024,789.3,6,24
2024,887.1,6,23
2024,1030.7,6,22
2024,925.1,6,21
2024,915.2,6,20
2024,903.6,6,19
2024,921.6,6,18
2024,724,6,17
2024,751.8,6,16
2024,971.1,6,15
2024,900.6,6,14
2024,909.8,6,13
2024,932.6,6,12
2024,890.2,6,11
2024,817.5,6,10
2024,846.8,6,9
2024,1071.6,6,8
2024,925,6,7
2024,889,6,6
2024,879,6,5
2024,793.7,6,3
2024,696.5,6,2
2024,983.3,6,1
2024,903.4,5,31
2024,905.1,5,30
2024,887,5,29
2024,880.6,5,28
2024,772.7,5,27
2024,887.2,5,26
2024,975.8,5,25
2024,862.6,5,24
2024,905.6,5,23
2024,873.7,5,22
2024,875.6,5,21
2024,773.2,5,20
2024,916.9,5,19
2024,1036.7,5,18
2024,922.5,5,17
2024,916,5,16
2024,904.1,5,15
2024,913,5,14
2024,776,5,13
2024,995.1,5,12
2024,906.3,5,10
2024,887.2,5,9
2024,894.6,5,8
2024,913.2,5,7
2024,855.6,5,6
2024,723,5,5
2024,897,5,4
2024,968.1,5,3
2024,1008.2,5,2
2024,1096.9,5,1
2024,910.1,4,30
2024,823.1,4,29
2024,759.4,4,28
2024,959.9,4,27
2024,895.7,4,26
2024,924.9,4,25
2024,865.2,4,24
2024,895.2,4,23
2024,646.2,4,22
2024,746,4,21
2024,1006.8,4,20
2024,893.7,4,19
2024,934.4,4,18
2024,868.7,4,15
2024,978.2,4,14
2024,1073.4,4,13
2024,939.2,4,12
2024,920.2,4,11
2024,903.6,4,10
2024,858.3,4,9
2024,824.4,4,8
2024,676.4,4,7
2024,686.1,4,6
2024,828.8,4,5
2024,1055.4,4,4
2024,904.3,4,3
2024,896.9,4,2
2024,780.7,4,1
2024,870,3,31
2024,1049.5,3,30
2024,933.9,3,29
2024,907.9,3,28
2024,901.4,3,27
2024,905.4,3,26
2024,844.1,3,25
2024,927.2,3,24
2024,1037.4,3,23
2024,924.2,3,22
2024,931.7,3,21
2024,915.5,3,20
2024,920.5,3,19
2024,853.6,3,18
2024,938.6,3,17
2024,1028.1,3,16
2024,891.9,3,15
2024,895.1,3,14
2024,962.3,3,13
2024,900.9,3,12
2024,674.7,3,11
2024,829.6,3,10
2024,1083.4,3,9
2024,843,3,8
2024,901.7,3,7
2024,905.4,3,6
2024,880.7,3,5
2024,792.5,3,4
2024,824.3,3,3
2024,977.2,3,2
2024,880.2,3,1
2024,900.3,2,29
2024,894.3,2,28
2024,890.5,2,27
2024,734.2,2,26
2024,841.3,2,25
2024,923.3,2,24
2024,852.9,2,23
2024,849.9,2,22
2024,825.2,2,21
2024,795.3,2,20
2024,756,2,19
2024,596.3,2,18
2024,550.1,2,17
2024,515.4,2,16
2024,504.1,2,15
2024,481.5,2,14
2024,465.7,2,13
2024,419.8,2,12
2024,456.7,2,11
2024,363.1,2,10
2024,474.9,2,9
2024,576.8,2,8
2024,714.3,2,7
2024,756,2,6
2024,740.3,2,5
2024,703.3,2,4
2024,878.5,2,3
2024,881,2,2
2024,895,2,1
2024,888,1,31
2024,891.7,1,30
2024,701,1,29
2024,762.1,1,28
2024,946.3,1,27
2024,895.5,1,26
2024,871.4,1,25
2024,849.1,1,24
2024,900.8,1,23
2024,781.4,1,22
2024,829,1,21
2024,975,1,20
2024,917.2,1,19
2024,919,1,18
2024,930.3,1,17
2024,927.4,1,16
2024,781.4,1,15
2024,845.9,1,14
2024,996.8,1,13
2024,925.4,1,12
2024,923.3,1,11
2024,898.9,1,10
2024,904.1,1,9
2024,723.5,1,8
2024,805.7,1,7
2024,967.2,1,6
2024,883.3,1,5
2024,883.8,1,4
2024,895.2,1,3
2024,956.4,1,2
2024,1081,1,1
2023,898.1,12,31
2023,1061.7,12,30
2023,907.4,12,29
2023,890.1,12,28
2023,892.1,12,27
2023,925.7,12,26
2023,808.1,12,25
2023,814.4,12,24
2023,1014.9,12,23
2023,870.1,12,22
2023,880.2,12,21
2023,859.8,12,20
2023,879.6,12,19
2023,762.6,12,18
2023,841.3,12,17
2023,995.3,12,16
2023,874,12,15
2023,876.5,12,14
2023,878.7,12,13
2023,891.2,12,12
2023,838.4,12,11
2023,925.5,12,10
2023,1045.1,12,9
2023,911.6,12,8
2023,871.7,12,7
2023,890.3,12,6
2023,897.1,12,5
2023,836.2,12,4
2023,899.5,12,3
2023,1025.5,12,2
2023,901.2,12,1
2023,884.7,11,30
2023,898,11,29
2023,912,11,28
2023,896.9,11,27
2023,971.3,11,26
2023,1052.1,11,25
2023,925.6,11,24
2023,911.9,11,23
2023,905.1,11,22
2023,911.4,11,21
2023,874.1,11,20
2023,967.9,11,19
2023,1050.7,11,18
2023,911.7,11,17
2023,903.4,11,16
2023,888.6,11,15
2023,901.9,11,14
2023,851.9,11,13
2023,871.9,11,12
2023,1023.5,11,11
2023,893.4,11,10
2023,880.9,11,9
2023,887.4,11,8
2023,900.8,11,7
2023,848.1,11,6
2023,947.2,11,5
2023,1040.2,11,4
2023,911.4,11,3
2023,918.3,11,2
2023,915.7,11,1
2023,913.2,10,31
2023,816,10,30
2023,910.6,10,29
2023,1036.7,10,28
2023,915.8,10,27
2023,918.1,10,26
2023,919.1,10,25
2023,936.1,10,24
2023,871.9,10,23
2023,917.5,10,22
2023,996.1,10,21
2023,875.3,10,20
2023,907.7,10,19
2023,929.2,10,18
2023,949.3,10,17
2023,888.2,10,16
2023,966,10,15
2023,1047.8,10,14
2023,920.5,10,13
2023,909.6,10,12
2023,878.7,10,11
2023,855,10,10
2023,865.7,10,9
2023,859.2,10,8
2023,810.8,10,7
2023,800.5,10,6
2023,751.7,10,5
2023,747.7,10,4
2023,704.1,10,3
2023,777.5,10,2
2023,789.1,10,1
2023,819.5,9,30
2023,1108.6,9,29
2023,932.5,9,28
2023,898.6,9,27
2023,895.1,9,26
2023,803,9,25
2023,908.6,9,24
2023,1008,9,23
2023,885.5,9,22
2023,884.2,9,21
2023,884.4,9,20
2023,894.2,9,19
2023,818.6,9,18
2023,875.4,9,17
2023,948.9,9,16
2023,842.1,9,15
2023,868.4,9,14
2023,873.9,9,13
2023,871.3,9,12
2023,728.7,9,11
2023,792.2,9,10
2023,830.7,9,9
2023,816.4,9,8
2023,883.6,9,7
2023,909.9,9,6
2023,926.4,9,5
2023,701.7,9,4
2023,461.8,9,3
2023,845.6,9,2
2023,931.3,9,1
2023,909.3,8,31
2023,889.8,8,30
2023,920.2,8,29
2023,805.6,8,28
2023,874.2,8,27
2023,985.9,8,26
2023,943.4,8,25
2023,946.8,8,24
2023,1001.5,8,23
2023,963.2,8,22
2023,830.7,8,21
2023,885.2,8,20
2023,1001.5,8,19
2023,940.9,8,18
2023,979.2,8,17
2023,965.9,8,16
2023,972.4,8,15
2023,833.6,8,14
2023,875.6,8,13
2023,1007.8,8,12
2023,954.7,8,11
2023,976.7,8,10
2023,983.3,8,9
2023,,8,8
2023,815.9,8,7
2023,874.6,8,6
2023,1006.8,8,5
2023,970.6,8,4
2023,972.4,8,3
2023,1003.2,8,2
2023,971.7,8,1
2023,757.4,7,31
2023,813.1,7,30
2023,974.6,7,29
2023,950.9,7,28
2023,964.8,7,27
2023,976.8,7,26
2023,985.9,7,25
2023,849,7,24
2023,906.6,7,23
2023,1038.7,7,22
2023,976.7,7,21
2023,967,7,20
2023,882.2,7,19
2023,932.6,7,18
2023,791.6,7,17
2023,882.5,7,16
2023,1021.6,7,15
2023,975.7,7,14
2023,980.5,7,13
2023,995.1,7,12
2023,1024.3,7,11
2023,850.1,7,10
2023,919.7,7,9
2023,1029.9,7,8
2023,974.4,7,7
2023,973.5,7,6
2023,946.8,7,5
2023,955.1,7,4
2023,747.5,7,3
2023,843.9,7,2
2023,1016.3,7,1
2023,948,6,30
2023,918.9,6,29
2023,920.7,6,28
2023,902.4,6,27
2023,879.3,6,26
2023,741.4,6,25
2023,725.6,6,24
2023,854.4,6,23
2023,1065.8,6,22
2023,912.4,6,21
2023,903.3,6,20
2023,689.6,6,19
2023,787.5,6,18
2023,945.6,6,17
2023,882.4,6,16
2023,842.3,6,15
2023,862.2,6,14
2023,885.8,6,13
2023,744.1,6,12
2023,827.5,6,11
2023,971.6,6,10
2023,847.2,6,9
2023,846.7,6,8
2023,849,6,7
2023,857.9,6,6
2023,682.6,6,5
2023,772.2,6,4
2023,947.6,6,3
2023,873.9,6,2
2023,836.8,6,1
2023,845.4,5,31
2023,867.1,5,30
2023,754.5,5,29
2023,859.1,5,28
2023,986.8,5,27
2023,876.7,5,26
2023,814.2,5,25
2023,847,5,24
2023,863.4,5,23
2023,787.7,5,22
2023,911.6,5,21
2023,969.8,5,20
2023,859.1,5,19
2023,852,5,18
2023,862.6,5,17
2023,877.6,5,16
2023,735.3,5,15
2023,805.9,5,14
2023,930.1,5,13
2023,851,5,12
2023,867.5,5,11
2023,855.3,5,10
2023,859,5,9
2023,579,5,8
2023,883.7,5,7
2023,873.7,5,6
2023,897.2,5,5
2023,825.5,5,4
2023,892.5,5,3
2023,1000.8,5,2
2023,1038.3,5,1
2023,928.7,4,30
2023,1097.5,4,29
2023,917.9,4,28
2023,911.7,4,27
2023,887.1,4,26
2023,861.3,4,25
2023,888.6,4,24
2023,813.1,4,23
2023,961.1,4,22
2023,889.9,4,21
2023,847.9,4,20
2023,890.6,4,19
2023,923.5,4,18
2023,856.9,4,17
2023,926.2,4,16
2023,1000.7,4,15
2023,886,4,14
2023,886,4,13
2023,877.5,4,12
2023,885.9,4,11
2023,778.6,4,10
2023,864,4,9
2023,983.2,4,8
2023,841.3,4,7
2023,654.1,4,6
2023,889.9,4,5
2023,861.3,4,4
2023,720.9,4,3
2023,800.53,4,2
2023,949,4,1
2023,841.6,3,31
2023,840.4,3,30
2023,865.3,3,29
2023,819.7,3,28
2023,644.5,3,27
2023,685.3,3,26
2023,882.2,3,25
2023,853.6,3,24
2023,867.4,3,23
2023,870.3,3,22
2023,888.8,3,21
2023,833.6,3,20
2023,947.7,3,19
2023,1012.6,3,18
2023,894.6,3,17
2023,883.4,3,16
2023,883,3,15
2023,894.6,3,14
2023,835.3,3,13
2023,953.6,3,12
2023,1039.5,3,11
2023,893.4,3,10
2023,928.1,3,9
2023,889.6,3,8
2023,907.5,3,7
2023,866.1,3,6
2023,978.9,3,5
2023,1037.2,3,4
2023,905.7,3,3
2023,907.9,3,2
2023,895.1,3,1
2023,897.3,2,28
2023,835.9,2,27
2023,969,2,26
2023,1030,2,25
2023,915.1,2,24
2023,895.4,2,23
2023,889.9,2,22
2023,891.2,2,21
2023,822.5,2,20
2023,916.8,2,19
2023,983.4,2,18
2023,894.2,2,17
2023,886.4,2,16
2023,902.4,2,15
2023,858,2,14
2023,717.4,2,13
2023,783.6,2,12
2023,905.6,2,11
2023,835.3,2,10
2023,834.2,2,9
2023,816.6,2,8
2023,801.9,2,7
2023,542.7,2,6
2023,621.5,2,5
2023,803.2,2,4
2023,767.1,2,3
2023,765.1,2,2
2023,734.6,2,1
2023,695.5,1,31
2023,633.8,1,30
2023,544.2,1,29
2023,421.2,1,28
2023,380.8,1,27
2023,331.2,1,26
2023,305.6,1,25
2023,280.2,1,24
2023,280.4,1,23
2023,235.7,1,22
2023,387,1,21
2023,456.9,1,20
2023,513.5,1,19
2023,559.1,1,18
2023,593.7,1,17
2023,459.3,1,16
2023,532.9,1,15
2023,657.9,1,14
2023,626.8,1,13
2023,629.1,1,12
2023,630.1,1,11
2023,637.6,1,10
2023,471.4,1,9
2023,538.2,1,8
2023,653.5,1,7
2023,620,1,6
2023,609.5,1,5
2023,609,1,4
2023,439.1,1,3
2023,478.9,1,2
2023,501.9,1,1
2022,550.9,12,31
2022,493.7,12,30
2022,468,12,29
2022,444.4,12,28
2022,425.9,12,27
2022,279.9,12,26
2022,281.9,12,25
2022,326.4,12,24
2022,298.5,12,23
2022,286.9,12,22
2022,277.4,12,21
2022,276.4,12,20
2022,163.8,12,19
2022,184.5,12,18
2022,297.6,12,17
2022,342.2,12,16
2022,392.8,12,15
2022,442.3,12,14
2022,490.2,12,13
2022,319.7,12,12
2022,383.4,12,11
2022,541.3,12,10
2022,519.8,12,8
2022,492.7,12,7
2022,515.6,12,6
2022,287.3,12,5
2022,328.8,12,4
2022,467.7,12,3
2022,429.3,12,2
2022,198.4,12,1
2022,186.1,11,30
2022,168.3,11,29
2022,66.3,11,28
2022,84.3,11,27
2022,272.6,11,26
2022,269.7,11,25
2022,278.4,11,24
2022,280.4,11,23
2022,301.7,11,22
2022,210.5,11,21
2022,253.3,11,20
2022,406.6,11,19
2022,384.2,11,18
2022,343.3,11,17
2022,332.7,11,16
2022,311.5,11,15
2022,128.9,11,14
2022,147.6,11,13
2022,260.4,11,12
2022,281.2,11,11
2022,348.8,11,10
2022,374.9,11,9
2022,384.3,11,8
2022,215.9,11,7
2022,269.1,11,6
2022,539.4,11,5
2022,511.1,11,4
2022,525,11,3
2022,543.3,11,2
2022,552.7,11,1
2022,299.2,10,31
2022,368.5,10,30
2022,604.1,10,29
2022,608.6,10,28
2022,630.1,10,27
2022,657.2,10,26
2022,682.3,10,25
2022,508.6,10,24
2022,586.5,10,23
2022,785.8,10,22
2022,731.1,10,21
2022,730.5,10,20
2022,736.3,10,19
2022,763.3,10,18
2022,569,10,17
2022,647.4,10,16
2022,844.5,10,15
2022,787.5,10,14
2022,804.1,10,13
2022,804.3,10,12
2022,805.1,10,11
2022,768.5,10,10
2022,786.8,10,9
2022,649.1,10,8
2022,620.6,10,7
2022,576.8,10,6
2022,573.1,10,5
2022,596.3,10,4
2022,662.4,10,3
2022,745.1,10,2
2022,1028,10,1
2022,838.6,9,30
2022,818,9,29
2022,803.6,9,28
2022,806.7,9,27
2022,613.4,9,26
2022,686.5,9,25
2022,866.6,9,24
2022,795,9,23
2022,798.1,9,22
2022,797.6,9,21
2022,797.6,9,20
2022,608,9,19
2022,693.9,9,18
2022,880.9,9,17
2022,804.9,9,16
2022,800.1,9,15
2022,809.7,9,14
2022,644,9,13
2022,605.4,9,12
2022,673.9,9,11
2022,938.3,9,10
2022,781.2,9,9
2022,763.1,9,8
2022,751.6,9,7
2022,743.3,9,6
2022,472.6,9,5
2022,534.3,9,4
2022,772.1,9,3
2022,733.2,9,2
2022,747,9,1
2022,815.5,8,31
2022,836.1,8,30
2022,654.8,8,29
2022,730.5,8,28
2022,866.9,8,27
2022,750,8,26
2022,826,8,25
2022,849.1,8,24
2022,850.1,8,23
2022,643.6,8,22
2022,712.5,8,21
2022,876.8,8,20
2022,833.6,8,19
2022,844.2,8,18
2022,870.5,8,17
2022,868.4,8,16
2022,659.7,8,15
2022,707.3,8,14
2022,851.6,8,13
2022,799.1,8,12
2022,801.6,8,11
2022,832.4,8,10
2022,827.4,8,9
2022,643.3,8,8
2022,707,8,7
2022,875.4,8,6
2022,854.5,8,5
2022,828.1,8,4
2022,843.5,8,3
2022,861.1,8,2
2022,642.5,8,1
2022,645.7,7,31
2022,869.5,7,30
2022,831.3,7,29
2022,831.7,7,28
2022,834,7,27
2022,837,7,26
2022,613.5,7,25
2022,695.4,7,24
2022,872,7,23
2022,834.5,7,22
2022,836.6,7,21
2022,836.2,7,20
2022,835.8,7,19
2022,605.9,7,18
2022,655.8,7,17
2022,827.9,7,16
2022,796,7,15
2022,798.5,7,14
2022,804.9,7,13
2022,826.2,7,12
2022,612.5,7,11
2022,707.7,7,10
2022,951.9,7,9
2022,861.4,7,8
2022,890.5,7,7
2022,879.7,7,6
2022,838.6,7,5
2022,525.9,7,4
2022,582.7,7,3
2022,945,7,2
2022,873.7,7,1
2022,860.5,6,30
2022,855.4,6,29
2022,852.8,6,28
2022,644.6,6,27
2022,729.5,6,26
2022,916,6,25
2022,846.2,6,24
2022,837.2,6,23
2022,823.9,6,22
2022,823.3,6,21
2022,617.3,6,20
2022,692.7,6,19
2022,806.1,6,17
2022,795.1,6,16
2022,769.9,6,15
2022,816.5,6,14
2022,586.7,6,13
2022,666.3,6,12
2022,860,6,11
2022,752.6,6,10
2022,787.2,6,9
2022,764.7,6,8
2022,797.9,6,7
2022,665.5,6,6
2022,669.9,6,5
2022,945.1,6,3
2022,792,6,2
2022,791.6,6,1
2022,790.5,5,31
2022,593.6,5,30
2022,667.3,5,29
2022,820.2,5,28
2022,777.5,5,27
2022,772.7,5,26
2022,770.1,5,25
2022,766.6,5,24
2022,539,5,23
2022,600.7,5,22
2022,871,5,21
2022,763.3,5,20
2022,759.5,5,19
2022,756.2,5,18
2022,740.7,5,17
2022,500.8,5,16
2022,563.16,5,15
2022,716.6,5,14
2022,587.9,5,13
2022,597.2,5,12
2022,695.4,5,11
2022,719.5,5,10
2022,439.6,5,9
2022,677,5,8
2022,702,5,7
2022,706.3,5,6
2022,514,5,5
2022,512.1,5,4
2022,458.7,5,3
2022,326.3,5,2
2022,520.4,5,1
2022,773.6,4,30
2022,713.6,4,29
2022,739.1,4,28
2022,731.5,4,27
2022,713.7,4,26
2022,597.3,4,25
2022,415.8,4,24
2022,611.4,4,23
2022,566.8,4,22
2022,537.1,4,21
2022,497.3,4,20
2022,494.1,4,19
2022,233.6,4,18
2022,278.9,4,17
2022,468.5,4,16
2022,452.2,4,15
2022,450.8,4,14
2022,449.1,4,13
2022,491.3,4,12
2022,281.8,4,11
2022,394.4,4,10
2022,798.3,4,9
2022,764.9,4,8
2022,766.6,4,7
2022,519.2,4,6
2022,574.2,4,5
2022,618.5,4,4
2022,814.7,4,3
2022,774.6,4,2
2022,769.2,4,1
2022,764,3,31
2022,758.2,3,30
2022,756.5,3,29
2022,482.2,3,28
2022,526.7,3,27
2022,742,3,26
2022,680.1,3,25
2022,686.9,3,24
2022,711.8,3,23
2022,719.9,3,22
2022,409.5,3,21
2022,481.5,3,20
2022,717.9,3,19
2022,677,3,18
2022,710.8,3,17
2022,735.6,3,16
2022,805.3,3,15
2022,407.7,3,14
2022,528.1,3,13
