位置,次数,经度,纬度
御金沙 ,80,113.204835,23.166689
越秀星汇云城 ,54,113.33698,23.208665
富力桃园 ,54,113.233062,23.149066
城西花园 ,34,113.209683,23.157618
金域蓝湾 ,25,113.211207,23.155154
岭南新世界 ,24,113.294217,23.23228
景泰新村 ,21,113.268551,23.161356
家和东湖映月 ,17,113.321777,23.274905
富力半岛 ,15,113.227388,23.1432
金碧新城 ,15,113.241687,23.203377
汇侨新城北区 ,14,113.257198,23.200033
锦翠苑(金钟横路) ,12,113.268849,23.169121
利都大厦 ,12,113.259345,23.198256
广园云苑新村 ,12,113.270306,23.165669
盈富居 ,11,113.227803,23.145161
紫薇花园 ,11,113.23301,23.403876
云裳丽影 ,9,113.330053,23.196367
祥景花园雍翠园 ,9,113.269945,23.207059
汇侨新城南区 ,9,113.257571,23.197349
金湖雅苑 ,9,113.337381,23.192769
瑞晖花园 ,8,113.220697,23.202648
星汇金沙雅筑 ,8,113.196967,23.160468
新市花园一区 ,8,113.259319,23.190397
金碧雅苑 ,7,113.29187,23.222864
增槎路 ,7,113.223668,23.158764
黄石花园 ,7,113.267207,23.204456
梅苑小区 ,7,113.321621,23.17733
保利汇海花园 ,6,113.208937,23.174086
保利西子湾 ,6,113.208695,23.14781
远景新苑 ,6,113.247795,23.171527
金满花园 ,6,,
云东小区 ,6,113.327499,23.19612
金满家园 ,5,113.206859,23.156701
云山诗意 ,5,113.530902,22.789784
紫荆花园 ,5,113.258911,23.193026
春鸿居 ,5,113.294262,23.213619
恒大绿洲花园 ,5,113.209967,23.145944
美景苑 ,5,113.2525,23.172652
翠福居 ,5,113.221441,23.148282
白云家园 ,5,113.323897,23.178478
南洋电器厂宿舍 ,5,113.414078,22.959147
新兴白云花园 ,5,113.289698,23.215047
乐得花园 ,5,113.275076,23.22262
祥景花园AC区 ,5,113.270668,23.204335
富力城北区 ,5,113.262973,23.250956
白云明珠广场 ,5,113.259546,23.180992
交电新村 ,5,113.265925,23.159192
时代玫瑰园 ,5,113.285977,23.223906
白云高尔夫花园东区 ,5,113.270457,23.201657
大源山庄 ,5,113.352184,23.250655
保利江岸花园 ,5,113.242327,23.064409
保利紫云 ,5,113.251683,23.189835
白云高尔夫花园荷塘月色 ,4,113.270758,23.198753
南航新村 ,4,113.249797,23.194742
民航小区南云西街 ,4,113.258789,23.175609
岭南新世界映悦园 ,4,113.302795,23.234749
白云骏景 ,4,113.271482,23.19612
一品湖山 ,4,113.32993,23.213323
建南大厦 ,4,113.254733,23.18275
岭南雅院 ,4,113.23129,23.158038
云景花园云景名都 ,4,113.329069,23.183049
白云畔山花园 ,4,113.320801,23.18263
龙湖招商·天鉅 ,4,,
飞鹅西路 ,4,113.264953,23.154031
田心花园 ,4,113.235846,23.160177
松溪花园 ,4,113.218675,23.150903
康盈阁 ,4,113.258336,23.173054
积德花园 ,4,,
富力阳光美居 ,4,113.259828,23.202151
荔苑公寓 ,4,113.341459,23.23354
合益小区 ,4,113.247398,23.174293
广园中路 ,4,113.273061,23.158616
水警宿舍 ,3,113.256849,23.107195
华园北路华园北街 ,3,113.258779,23.163661
榕溪花园 ,3,113.244473,23.21023
顺景花园 ,3,113.25576,23.206226
馨雅居 ,3,113.242548,23.20863
广播设备厂宿舍 ,3,,
依云小镇 ,3,113.300229,23.231898
松南路 ,3,113.222123,23.150706
颐和上院一期 ,3,113.271149,23.176679
朗骏苑 ,3,113.232987,23.164326
江南世家 ,3,113.338175,23.235118
云山熹景 ,3,,
警察学院家属区 ,3,113.231499,23.197814
同德花园同景苑 ,3,113.236935,23.166675
康雅花园 ,3,113.258918,23.182498
金泉山庄 ,3,113.280539,23.161101
万科蓝山 ,3,113.344272,23.23326
民航小区康寿街 ,3,113.259238,23.178089
云西小区 ,3,113.269975,23.166983
阳光花园 ,3,113.231482,23.181678
合一国际 ,3,113.328339,23.191786
银苑大厦(白云) ,3,,
恒大御府 ,3,113.328243,23.176638
云山锦绣家园 ,3,113.273725,23.175435
广信春兰花园 ,3,113.32708,23.184135
元邦航空家园 ,3,113.259019,23.204956
华兴苑 ,3,113.265714,23.164246
合益街31号大院 ,3,113.248513,23.175172
岗贝路101号-123号宿舍(单号) ,3,113.25592,23.180087
明月金岸花园 ,3,113.403335,23.107388
云涛花园 ,2,113.328147,23.197798
丝绸大厦 ,2,113.300685,23.131142
旧云东小区 ,2,113.327287,23.195293
富力碧涛湾 ,2,113.220889,23.149752
京溪尚苑 ,2,113.335401,23.18038
景泰名苑 ,2,113.267253,23.161151
上步花园 ,2,113.236641,23.17028
保利春天里 ,2,113.200015,23.160408
盈翠华庭 ,2,113.272564,23.169274
侨德花园 ,2,113.236484,23.162769
深业金翠湾 ,2,113.2101,23.170723
嘉福楼 ,2,113.260248,23.192189
利海绿洲花园 ,2,113.312044,23.237382
梅宾东宿舍 ,2,,
嘉德苑 ,2,,
新世界嘉云府 ,2,113.293269,23.079234
南湖半山东苑 ,2,113.344186,23.223067
同沙路 ,2,113.330082,23.195214
同德花园同雅苑 ,2,113.234872,23.167753
宏航苑 ,2,113.256692,23.188233
黄石小区 ,2,113.266119,23.209839
中海金沙馨园一期 ,2,113.204464,23.145184
骏御华庭 ,2,113.257055,23.183695
万科爱地住宅区 ,2,113.308229,23.108406
华宇苑 ,2,113.223155,23.151869
星汇晴轩 ,2,113.255958,23.169333
华德大厦 ,2,,
圣雅堡 ,2,113.223011,23.150565
百荣园 ,2,,
时代天朗花园 ,2,113.332124,23.192525
富力城南区 ,2,113.261961,23.245281
汇美苑 ,2,113.257418,23.167437
紫来居 ,2,113.271069,23.170672
怡富尚苑 ,2,113.225315,23.204951
惠泽雅轩 ,1,113.220986,23.15773
保利珑熙 ,1,113.221009,23.147093
广信白兰花园 ,1,113.26783,23.169888
万科云山花园 ,1,113.310049,23.245297
民航小区向云西街 ,1,113.260535,23.16558
云景花园云桦苑 ,1,113.331591,23.184621
云东花园 ,1,113.273191,23.168348
云山居 ,1,113.298038,23.211796
万科峯境 ,1,113.273916,23.172287
枫溪苑 ,1,113.257582,23.180587
松云雅苑 ,1,113.292364,23.208007
白云高尔夫花园西区 ,1,113.265731,23.200413
岗贝路海棠居 ,1,113.257078,23.180504
嘉景园 ,1,113.257934,23.193755
中海金沙馨园二期西区 ,1,113.204549,23.148216
贝丽花园 ,1,113.256806,23.179537
怡新花园 ,1,113.322498,23.17511
京华雅居 ,1,113.256284,23.186914
嘉利苑 ,1,113.257187,23.168354
汇祥苑 ,1,,
万方园 ,1,113.258856,23.17205
保利金沙大都汇 ,1,113.20976,23.150318
静心林语园 ,1,,
汇雅花园 ,1,113.329392,23.278311
云泉居 ,1,113.269807,23.169591
绿地时代云都汇 ,1,113.267371,23.206402
汇侨新苑 ,1,,
广州市司法学校黄边校区 ,1,113.285379,23.222491
佳兆业天墅 ,1,113.328525,23.202893
南湖半岛花园 ,1,113.337468,23.214041
建发央玺 ,1,113.233257,23.191977
腾龙阁 ,1,113.25951,23.171171
佳兆业天御 ,1,113.328467,23.177851
大城云山 ,108,113.49141,23.452709
华标荔苑 ,46,113.490846,23.450043
紫泉翠荔嘉园 ,40,113.486979,23.442353
时代印象 ,39,113.494597,23.454192
珠江国际城 ,32,113.216314,23.079285
人盛巴厘天地 ,32,113.534725,23.491611
富力泉天下 ,26,113.648285,23.633991
智汇国际 ,25,113.491774,23.446334
上雅君庭 ,24,113.492583,23.44666
新光百德广场 ,23,113.491924,23.448141
雅居乐小院流溪 ,22,113.56532,23.514229
荔林春晓 ,17,113.493357,23.446398
逸泉山庄 ,17,113.567826,23.505885
珠光御景山水城 ,11,113.6153,23.586713
东方夏湾拿 ,9,113.502677,23.469746
碧桂园荔山雅筑 ,8,113.566847,23.502088
紫泉流溪湾 ,6,113.472402,23.441502
珠光流溪御景 ,5,113.563149,23.523355
珠光山水御苑 ,5,113.622712,23.589035
雅居乐滨江花园 ,5,113.592794,23.535357
时代幸汇 ,5,113.609028,23.532129
七星路 ,4,113.602371,23.537545
逸泉映翠 ,4,113.541197,23.487716
雅居乐滨江雅苑 ,3,113.47806,23.431665
荔枝花园 ,3,113.581786,23.536641
从化怡景楼 ,3,113.493907,23.439992
银农楼 ,3,,
托斯卡纳(从化区) ,2,113.615875,23.613543
上城湾畔B区 ,2,113.588175,23.527463
西宁中路 ,2,113.587892,23.550881
碧桂园御湖城二期 ,2,113.633315,23.573385
回归路小区 ,2,113.492558,23.4411
莱茵水岸 ,2,,
方圆明月山溪 ,2,113.634318,23.629203
星汇峰 ,2,113.493216,23.441089
鸿运楼 ,2,113.22607,23.393743
东成路 ,2,113.590096,23.547933
骏逸湖畔花苑 ,2,113.504006,23.420764
镇北路 ,1,113.594196,23.554552
新村北路 ,1,113.584781,23.554115
宏业楼 ,1,,
雍晟美景家园 ,1,113.5835,23.551905
河滨北路 ,1,113.605728,23.553532
龙井村 ,1,113.598886,23.545201
欣荣宏国际商贸城 ,1,113.59078,23.530824
玫瑰園 ,1,113.272516,23.093131
雍禾苑 ,1,113.579157,23.537456
建云东路 ,1,113.588288,23.543032
丰盈雅居 ,1,113.491457,23.441685
碧桂园从化1960 ,1,113.592606,23.551209
星河绿洲 ,1,,
侨宏花园 ,1,113.639099,23.637723
凤仪西路 ,1,113.583129,23.54144
御景宏雅花园 ,1,113.600783,23.530338
中田北路 ,1,113.586559,23.544123
城内路 ,1,113.581466,23.547579
爱尚流溪 ,1,113.617857,23.569977
彩虹苑 ,1,113.491274,23.441112
名城御景绿洲 ,1,113.600783,23.530338
新平路 ,1,113.337233,22.94356
太平花园 ,1,113.484611,23.430748
金碧花园第一金碧 ,22,113.287751,23.068768
第二金碧花园 ,15,113.283668,23.070876
滨江东路(海珠) ,14,,
江南西路 ,13,113.271099,23.094876
第三金碧花园 ,12,113.288523,23.064624
晓港湾 ,11,113.292508,23.069835
晓港中马路 ,10,113.283956,23.091449
纺织路(海珠) ,10,113.263777,23.109847
江南大道中 ,9,113.273547,23.098282
前进路(海珠) ,9,113.263777,23.109847
聚龙花园 ,9,113.253359,23.101226
万科金域华庭 ,9,113.25321,23.103002
逸景翠园 ,9,113.307656,23.083728
荔福路 ,9,113.262397,23.090809
富基广场A区 ,8,113.326705,23.187735
同福西路 ,8,113.252882,23.102615
华保花园 ,8,113.33543,23.088715
昌岗东路 ,7,113.281647,23.092834
万寿路 ,7,113.280863,23.102448
保利红棉花园 ,6,113.276925,23.074932
洪德路 ,6,113.251978,23.104186
五一新村 ,6,113.262262,23.088339
星汇湾花园 ,6,113.266689,23.074821
海城花苑 ,6,113.285125,23.106298
保利丰花园 ,6,113.253232,23.100071
翠城花园 ,6,113.270947,23.082991
洪德雅苑 ,5,113.256537,23.097899
