位置,次数
御金沙 ,80
越秀星汇云城 ,54
富力桃园 ,54
城西花园 ,34
金域蓝湾 ,25
岭南新世界 ,24
景泰新村 ,21
家和东湖映月 ,17
富力半岛 ,15
金碧新城 ,15
汇侨新城北区 ,14
锦翠苑(金钟横路) ,12
利都大厦 ,12
广园云苑新村 ,12
盈富居 ,11
紫薇花园 ,11
云裳丽影 ,9
祥景花园雍翠园 ,9
汇侨新城南区 ,9
金湖雅苑 ,9
瑞晖花园 ,8
星汇金沙雅筑 ,8
新市花园一区 ,8
金碧雅苑 ,7
增槎路 ,7
黄石花园 ,7
梅苑小区 ,7
保利汇海花园 ,6
保利西子湾 ,6
远景新苑 ,6
金满花园 ,6
云东小区 ,6
金满家园 ,5
云山诗意 ,5
紫荆花园 ,5
春鸿居 ,5
恒大绿洲花园 ,5
美景苑 ,5
翠福居 ,5
白云家园 ,5
南洋电器厂宿舍 ,5
新兴白云花园 ,5
乐得花园 ,5
祥景花园AC区 ,5
富力城北区 ,5
白云明珠广场 ,5
交电新村 ,5
时代玫瑰园 ,5
白云高尔夫花园东区 ,5
大源山庄 ,5
保利江岸花园 ,5
保利紫云 ,5
白云高尔夫花园荷塘月色 ,4
南航新村 ,4
民航小区南云西街 ,4
岭南新世界映悦园 ,4
白云骏景 ,4
一品湖山 ,4
建南大厦 ,4
岭南雅院 ,4
云景花园云景名都 ,4
白云畔山花园 ,4
龙湖招商·天鉅 ,4
飞鹅西路 ,4
田心花园 ,4
松溪花园 ,4
康盈阁 ,4
积德花园 ,4
富力阳光美居 ,4
荔苑公寓 ,4
合益小区 ,4
广园中路 ,4
水警宿舍 ,3
华园北路华园北街 ,3
榕溪花园 ,3
顺景花园 ,3
馨雅居 ,3
广播设备厂宿舍 ,3
依云小镇 ,3
松南路 ,3
颐和上院一期 ,3
朗骏苑 ,3
江南世家 ,3
云山熹景 ,3
警察学院家属区 ,3
同德花园同景苑 ,3
康雅花园 ,3
金泉山庄 ,3
万科蓝山 ,3
民航小区康寿街 ,3
云西小区 ,3
阳光花园 ,3
合一国际 ,3
银苑大厦(白云) ,3
恒大御府 ,3
云山锦绣家园 ,3
广信春兰花园 ,3
元邦航空家园 ,3
华兴苑 ,3
合益街31号大院 ,3
岗贝路101号-123号宿舍(单号) ,3
明月金岸花园 ,3
云涛花园 ,2
丝绸大厦 ,2
旧云东小区 ,2
富力碧涛湾 ,2
京溪尚苑 ,2
景泰名苑 ,2
上步花园 ,2
保利春天里 ,2
盈翠华庭 ,2
侨德花园 ,2
深业金翠湾 ,2
嘉福楼 ,2
利海绿洲花园 ,2
梅宾东宿舍 ,2
嘉德苑 ,2
新世界嘉云府 ,2
南湖半山东苑 ,2
同沙路 ,2
同德花园同雅苑 ,2
宏航苑 ,2
黄石小区 ,2
中海金沙馨园一期 ,2
骏御华庭 ,2
万科爱地住宅区 ,2
华宇苑 ,2
星汇晴轩 ,2
华德大厦 ,2
圣雅堡 ,2
百荣园 ,2
时代天朗花园 ,2
富力城南区 ,2
汇美苑 ,2
紫来居 ,2
怡富尚苑 ,2
惠泽雅轩 ,1
保利珑熙 ,1
广信白兰花园 ,1
万科云山花园 ,1
民航小区向云西街 ,1
云景花园云桦苑 ,1
云东花园 ,1
云山居 ,1
万科峯境 ,1
枫溪苑 ,1
松云雅苑 ,1
白云高尔夫花园西区 ,1
岗贝路海棠居 ,1
嘉景园 ,1
中海金沙馨园二期西区 ,1
贝丽花园 ,1
怡新花园 ,1
京华雅居 ,1
嘉利苑 ,1
汇祥苑 ,1
万方园 ,1
保利金沙大都汇 ,1
静心林语园 ,1
汇雅花园 ,1
云泉居 ,1
绿地时代云都汇 ,1
汇侨新苑 ,1
广州市司法学校黄边校区 ,1
佳兆业天墅 ,1
南湖半岛花园 ,1
建发央玺 ,1
腾龙阁 ,1
佳兆业天御 ,1
大城云山 ,108
华标荔苑 ,46
紫泉翠荔嘉园 ,40
时代印象 ,39
珠江国际城 ,32
人盛巴厘天地 ,32
富力泉天下 ,26
智汇国际 ,25
上雅君庭 ,24
新光百德广场 ,23
雅居乐小院流溪 ,22
荔林春晓 ,17
逸泉山庄 ,17
珠光御景山水城 ,11
东方夏湾拿 ,9
碧桂园荔山雅筑 ,8
紫泉流溪湾 ,6
珠光流溪御景 ,5
珠光山水御苑 ,5
雅居乐滨江花园 ,5
时代幸汇 ,5
七星路 ,4
逸泉映翠 ,4
雅居乐滨江雅苑 ,3
荔枝花园 ,3
从化怡景楼 ,3
银农楼 ,3
托斯卡纳(从化区) ,2
上城湾畔B区 ,2
西宁中路 ,2
碧桂园御湖城二期 ,2
回归路小区 ,2
莱茵水岸 ,2
方圆明月山溪 ,2
星汇峰 ,2
鸿运楼 ,2
东成路 ,2
骏逸湖畔花苑 ,2
镇北路 ,1
新村北路 ,1
宏业楼 ,1
雍晟美景家园 ,1
河滨北路 ,1
龙井村 ,1
欣荣宏国际商贸城 ,1
玫瑰園 ,1
雍禾苑 ,1
建云东路 ,1
丰盈雅居 ,1
碧桂园从化1960 ,1
星河绿洲 ,1
侨宏花园 ,1
凤仪西路 ,1
御景宏雅花园 ,1
中田北路 ,1
城内路 ,1
爱尚流溪 ,1
彩虹苑 ,1
名城御景绿洲 ,1
新平路 ,1
太平花园 ,1
金碧花园第一金碧 ,22
第二金碧花园 ,15
滨江东路(海珠) ,14
江南西路 ,13
第三金碧花园 ,12
晓港湾 ,11
晓港中马路 ,10
纺织路(海珠) ,10
江南大道中 ,9
前进路(海珠) ,9
聚龙花园 ,9
万科金域华庭 ,9
逸景翠园 ,9
荔福路 ,9
富基广场A区 ,8
同福西路 ,8
华保花园 ,8
昌岗东路 ,7
万寿路 ,7
保利红棉花园 ,6
洪德路 ,6
五一新村 ,6
星汇湾花园 ,6
海城花苑 ,6
保利丰花园 ,6
翠城花园 ,6
洪德雅苑 ,5
侨诚花园 ,5
南华东路 ,5
沙园 ,5
大江苑夏沙巷 ,5
滨江西路 ,5
晓港西马路 ,5
同福中路 ,5
海印南苑 ,4
海悦大厦 ,4
海外花园 ,4
雅景苑 ,4
侨诚花园宝通街 ,4
同福东路 ,4
工业大道北 ,4
建基路 ,3
昌岗中路 ,3
电子七所大院 ,3
珠江广场 ,3
南华西路 ,3
雅致花园 ,3
富基广场B区 ,3
晓燕湾 ,3
福雅居 ,3
滨江1933 ,3
南村路 ,3
素社新村 ,3
富力千禧花园 ,3
金雅苑 ,3
泰沙路 ,3
金汇花园 ,3
乐居苑 ,3
南丽苑 ,3
南田路 ,3
瑞康大厦 ,3
凤凰新村 ,3
宏宇广场 ,3
保利花园 ,3
润汇大厦 ,3
海意名苑 ,3
嘉鸿花园 ,3
双子星城 ,3
梅园阁 ,2
凤阳小区 ,2
浪琴居 ,2
