标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
金碧新城南向三房  望花园 南向采光通风佳,金碧新城 ,石井,近地铁 VR房源 房本满五年 随时看房,2,6个月以前发布,3室1厅,92.64平米,南,精装,低楼层(共32层),2006年,塔楼,2600000.0,28066
户型方正，中间楼层，小区环境好，13号线地铁口,翠福居 ,罗冲围,VR看装修 房本满五年 随时看房,4,27,1室1厅,41.84平米,东南,简装,低楼层(共9层),2004年,平房,1000000.0,23901
产权清晰，户型通透，中间楼层采光好,建南大厦 ,机场路,VR看装修 房本满五年 随时看房,0,31,2室1厅,64.86平米,南,其他,中楼层(共9层),1999年,塔楼,1060000.0,16343
金满家园 横沙地铁口电梯小两房 刚需上车盘,金满家园 ,金沙洲,近地铁 VR看装修 房本满五年,12,一年前发布,2室1厅,41.6平米,西北,简装,中楼层(共10层),1998年,塔楼,700000.0,16827
通透对流  南向大阳台阳光直射,一品湖山 ,南湖,VR看装修 房本满五年,1,12,4室2厅,141.59平米,南,简装,低楼层(共11层),2011年,板楼,4350000.0,30723
独用大露台，南向3+1房，可摇号省实,白云骏景 ,黄石,VR房源 房本满五年,0,10,4室2厅,131.16平米,南北,简装,低楼层(共12层),2003年,塔楼,4800000.0,36597
岭南新世界映悦园 南向两房 采光好,岭南新世界映悦园 ,永泰,VR看装修 房本满五年 随时看房,7,8个月以前发布,2室1厅,76.04平米,南,精装,低楼层(共9层),2012年,塔楼,2380000.0,31300
汇侨新城北区，户型方正，光线好,汇侨新城北区 ,新市,VR看装修 房本满两年 随时看房,9,一年前发布,3室2厅,88.45平米,东南,其他,高楼层(共9层),2000年,塔楼,1250000.0,14133
瑞晖花园 南向方正大2房 随时看房,瑞晖花园 ,石井,VR看装修 房本满五年 随时看房,4,一年前发布,2室1厅,81.42平米,南,简装,高楼层(共6层),2002年,塔楼,1180000.0,14493
恒大绿洲 证过五 精装修 南北对流 户型方正实用,恒大绿洲花园 ,金沙洲,近地铁 VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,188.07平米,东南,精装,低楼层(共31层),2008年,塔楼,5800000.0,30840
春鸿居，南向大两房，带平台，配套完善,春鸿居 ,元下田,近地铁 VR看装修 房本满五年 随时看房,1,11个月以前发布,2室1厅,59.98平米,南,精装,低楼层(共9层),1997年,塔楼,1050000.0,17506
富力桃园 满五唯一原温馨婚房 户型方正,富力桃园 ,罗冲围,VR房源 房本满五年,2,一年前发布,2室1厅,75.82平米,东南,精装,中楼层(共16层),2004年,塔楼,2530000.0,33369
云裳丽影 4室2厅 东南,云裳丽影 ,同和,近地铁 VR房源 房本满五年 随时看房,0,1个月以前发布,4室2厅,146.69平米,东南,精装,30层,2007年,塔楼,5880000.0,40085
满五唯一 单边位 通风采光好 视野宽阔 新装修,富力桃园 ,罗冲围,VR房源 房本满五年,3,5个月以前发布,3室2厅,97.23平米,西南,精装,中楼层(共32层),2004年,塔楼,2990000.0,30752
南湖荔苑  满五唯一  中层单位  好户型 大三房,荔苑公寓 ,南湖,VR看装修 房本满五年,1,4个月以前发布,3室2厅,106.66平米,东南东南西北,精装,中楼层(共8层),2000年,塔楼,1350000.0,12658
桃园D区高层南向视野开阔单边位采光充足对流满五唯一,富力桃园 ,罗冲围,VR房源 房本满五年,0,3个月以前发布,2室1厅,72.79平米,东南,精装,高楼层(共30层),2004年,塔楼,2250000.0,30911
朝向好，通风透气采光够，满五唯一税费少 交通便利,民航小区南云西街 ,机场路,VR看装修 房本满五年,0,5个月以前发布,2室1厅,64.84平米,东南,简装,中楼层(共7层),1995年,塔楼,1130000.0,17428
诚意放盘，楼层好视野开阔，采光充足，生活配套齐全,增槎路 ,罗冲围,VR看装修,0,2个月以前发布,3室1厅,70平米,南北,简装,高楼层(共9层),,板楼,1100000.0,15715
白云区 盈富居一房改两房 有电梯 看房方便,盈富居 ,罗冲围,VR看装修 房本满五年,0,6个月以前发布,2室1厅,36.72平米,南,其他,9层,2000年,塔楼,880000.0,23966
白云家园 电梯南向1房 通风采光好。,白云家园 ,梅花园,近地铁 VR看装修 房本满两年,2,2个月以前发布,1室1厅,33.85平米,南,简装,6层,1997年,塔楼,1160000.0,34269
麓景路口 去麓湖近 ，电梯高层 光线好 ，户型方正,南洋电器厂宿舍 ,麓景,VR房源 房本满五年 随时看房,15,2个月以前发布,2室1厅,62.7平米,南北,简装,高楼层(共9层),,塔楼,1200000.0,19139
岭南南向望湖3房 单边位 中楼层 采光通风好  诚心卖,岭南新世界 ,嘉禾望岗,近地铁 VR房源 房本满五年 随时看房,9,一年前发布,3室2厅,116.95平米,南,精装,中楼层(共8层),2001年,塔楼,4300000.0,36768
大型居住社区低总嫁 温馨两房 视野开阔 生活配套成熟,广园云苑新村 ,景泰,VR看装修 房本满五年 随时看房,3,3个月以前发布,2室1厅,42.9平米,南,精装,高楼层(共9层),,塔楼,880000.0,20513
半岛E区  楼龄新  凤凰楼层 望江视野佳,富力半岛 ,罗冲围,近地铁 VR看装修 房本满五年,2,4个月以前发布,3室2厅,89.91平米,西南,简装,26层,2005年,塔楼,2950000.0,32811
格局方正 采光通风好 电梯南向 大阳台 单边位,美景苑 ,机场路,VR看装修 房本满五年 随时看房,0,2个月以前发布,2室1厅,77.48平米,南,精装,中楼层(共9层),2008年,塔楼,2200000.0,28395
城西花园近地铁口，生活便利，2楼自带3方平台,城西花园 ,金沙洲,近地铁 VR看装修 房本满五年,8,一年前发布,2室1厅,61.55平米,西南,简装,低楼层(共9层),1999年,塔楼,1190000.0,19334
