标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
户型方正 高层复式3房2卫  南北对流 采光好,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室1厅,106.89平米,东南北,毛坯,高楼层(共6层),2007年,塔楼,620000.0,5801
大城云山  地铁站800米 满五唯一 有钥匙,大城云山 ,太平镇,近地铁 VR看装修 房本满五年 随时看房,2,7个月以前发布,3室2厅,106.18平米,东南,毛坯,高楼层(共9层),2013年,塔楼,660000.0,6216
视野开阔 使用率高 负离子空气 养老度假,珠光山水御苑 ,江浦街,VR看装修,1,6个月以前发布,4室2厅,102.51平米,东北,其他,中楼层(共30层),2016年,塔楼,750000.0,7317
地铁口  雅居乐物业  带连廊,雅居乐小院流溪 ,赤草,VR看装修 房本满五年 随时看房,0,1个月以前发布,3室2厅,116.53平米,西北,毛坯,中楼层(共18层),2015年,塔楼,950000.0,8153
14号线 神岗站 次新房两房 视野好无遮挡,人盛巴厘天地 ,神岗镇,VR看装修 房本满两年,2,1个月以前发布,2室2厅,74.75平米,西北,精装,高楼层(共18层),2018年,塔楼,530000.0,7091
双拼别墅，带装修，保养好，拎包即住,珠江国际城 ,神岗镇,VR房源 房本满五年 随时看房,6,一年前发布,6室4厅,354.52平米,南,简装,2层,,板塔结合,4300000.0,12130
紫泉翠荔嘉园电梯高层3房 看荔枝林,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,10,一年前发布,3室2厅,107.03平米,南,毛坯,高楼层(共18层),2010年,塔楼,880000.0,8222
小高层 看流溪河 南北对流采光好,珠光流溪御景 ,赤草,VR房源 房本满五年 随时看房,5,9个月以前发布,3室2厅,95.94平米,东南西北,毛坯,6层,2010年,暂无数据,598000.0,6234
地理位置及为优越，有风云岭湿地公园、,托斯卡纳(从化区) ,新城片区,VR房源 房本满五年 随时看房,8,一年前发布,3室2厅,135.61平米,南,毛坯,中楼层(共6层),,板楼,1200000.0,8849
业主诚心出，地铁口，高速口，河堤，华润。,上城湾畔B区 ,江浦街,近地铁 VR看装修 房本满五年 随时看房,3,一年前发布,3室2厅,95.72平米,北,其他,中楼层(共17层),2009年,塔楼,1400000.0,14626
上雅君庭 近地铁口 生活交通出行便利,上雅君庭 ,太平镇,近地铁 VR看装修 房本满两年 随时看房,0,6个月以前发布,1室1厅,56.35平米,南,毛坯,中楼层(共21层),,塔楼,430000.0,7631
神岗站巴厘天地毛坯三房 看小区花园 诚心出可议,人盛巴厘天地 ,神岗镇,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,104.65平米,南,毛坯,高楼层(共10层),2013年,塔楼,550000.0,5256
七星路   两房变三房无暗房   南向,七星路 ,江浦街,VR看装修 房本满五年 随时看房,0,5个月以前发布,2室2厅,75.43平米,南北,其他,低楼层(共2层),,暂无数据,450000.0,5966
中高楼层，采光充足，带装修，满五,从化怡景楼 ,太平镇,VR看装修 房本满五年 随时看房,3,一年前发布,2室2厅,72.54平米,东,毛坯,高楼层(共8层),,塔楼,400000.0,5515
紫泉翠荔嘉圆 拎包入住精装大两房 好楼层,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年,1,2个月以前发布,2室2厅,67.04平米,西北,简装,低楼层(共6层),,塔楼,520000.0,7757
巴厘天地楼层好 通风采光，格局方正 生活配套成熟,人盛巴厘天地 ,神岗镇,VR房源 房本满五年 随时看房,0,1个月以前发布,3室1厅,100.87平米,西北,精装,中楼层(共18层),2018年,塔楼,700000.0,6940
从化温泉富力泉天下 带简单装修小独栋 天台望山景河景,富力泉天下 ,温泉镇,VR房源 房本满五年 随时看房,2,6个月以前发布,5室2厅,226.63平米,东南,简装,3层,塔楼,独栋别墅,1500000.0,6619
人盛巴厘天地 2室2厅 南 西,人盛巴厘天地 ,神岗镇,VR房源 房本满五年 随时看房,0,1个月以前发布,2室2厅,83.97平米,南西,其他,低楼层(共17层),2014年,塔楼,570000.0,6789
格局方正视野开阔 景观好，优越生活乐章,方圆明月山溪 ,温泉镇,VR房源 房本满五年 随时看房,6,一年前发布,1室1厅,57.98平米,南北,简装,低楼层(共18层),2014年,塔楼,320000.0,5520
上雅君庭 太平地铁站  刚需小户型,上雅君庭 ,太平镇,近地铁 VR看装修 房本满两年 随时看房,8,6个月以前发布,1室1厅,56.35平米,南北,毛坯,低楼层(共21层),,塔楼,410000.0,7276
珠江国际城大三房，全新未入住，双阳台，近地神岗地铁,珠江国际城 ,神岗镇,近地铁 VR看装修 房本满两年 随时看房,0,2个月以前发布,3室2厅,118.36平米,南,精装,低楼层(共27层),2018年,板塔结合,1030000.0,8703
时代印象 太平地铁站 精装修 拎包入住,时代印象 ,太平镇,近地铁 VR看装修,3,2个月以前发布,3室2厅,99.91平米,东南,精装,中楼层(共32层),,塔楼,1260000.0,12612
南北对流，采光充足，交通便利，闹中取静,紫泉翠荔嘉园 ,太平镇,VR看装修 房本满五年 随时看房,0,20,3室2厅,105.41平米,南北,精装,低楼层(共6层),2006年,板楼,860000.0,8159
时代幸汇   东南向   楼层靓,时代幸汇 ,江浦街,VR看装修 房本满两年,0,3个月以前发布,3室2厅,99.43平米,东南,精装,中楼层(共24层),,板楼,928000.0,9334
此房证满五年，户型格局方正实用，南北对流，采光好。,荔枝花园 ,新城片区,VR房源 房本满五年,0,18,4室2厅,153平米,东南,其他,3层,1997年,板塔结合,1840000.0,12027
南向，地铁口房，雅居乐滨江花园！,雅居乐滨江花园 ,江浦街,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,123.21平米,南,精装,中楼层(共11层),2012年,塔楼,1650000.0,13392
精装3房，保养好，环境优美，交通便利。,珠江国际城 ,神岗镇,VR看装修 随时看房,0,1个月以前发布,3室2厅,89.5平米,东北,精装,中楼层(共28层),,暂无数据,760000.0,8492
