标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
东南朝向好，楼龄新环境好。证过五年,沙园 ,沙园,近地铁 VR看装修 房本满五年 随时看房,0,5个月以前发布,2室1厅,55平米,西南东北,其他,中楼层(共9层),2002年,塔楼,1250000.0,22728
金汇花园B区单位 安静不吵 楼龄新 封闭式管理,金汇花园 ,前进路,VR看装修 房本满五年 随时看房,5,6个月以前发布,3室1厅,86.86平米,东北,简装,9层,1997年,塔楼,2250000.0,25904
江燕花园 优质电梯两房 南向 近地铁,江燕花园 ,江燕路,近地铁 VR看装修 房本满五年,0,11,2室1厅,83.81平米,南,简装,高楼层(共9层),1996年,塔楼,2580000.0,30784
花园小区，马赛克外墙框架结构，配套齐全，生活方便,嘉丽苑 ,江南大道中,VR看装修 房本满五年 随时看房,5,7个月以前发布,2室1厅,43.33平米,西南,简装,中楼层(共9层),1998年,塔楼,1150000.0,26541
地铁口50米 冇装修 正规大三房 采光美丽,江南大道中 ,江南大道中,近地铁 VR看装修 房本满五年 随时看房,4,7个月以前发布,3室1厅,81.58平米,东南南,简装,低楼层(共6层),,板楼,1850000.0,22678
东区五期，高楼层精装修两房，拎包入住,金雅苑 ,滨江东,VR房源 房本满五年,9,8个月以前发布,2室1厅,67.77平米,北,精装,21层,2001年,塔楼,2780000.0,41022
凤凰新村 小区两房 近地铁 楼龄新 精装修 适合公积金,梅园阁 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,65,一年前发布,2室1厅,48.93平米,东南,精装,中楼层(共9层),1999年,塔楼,1030000.0,21051
保利物业 视野没遮挡 安静舒适五年唯一 安静舒适 急,保利百合花园二期 ,江燕路,近地铁 VR看装修 房本满五年 随时看房,4,4个月以前发布,2室1厅,65.33平米,东南,简装,高楼层(共15层),2004年,塔楼,2150000.0,32910
泰沙路 中楼层 马赛克外墙 南北对流  全明屋 精装修,泰沙路 ,江燕路,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,53.03平米,东南,其他,中楼层(共7层),,塔楼,1350000.0,25458
雅景苑 南向望花园 安静舒适 户型方正,雅景苑 ,滨江东,近地铁 VR看装修 房本满五年 随时看房,1,16,2室1厅,68.47平米,南,简装,高楼层(共9层),2002年,塔楼,2000000.0,29210
沙园 2室1厅 西,沙园 ,沙园,近地铁 VR看装修 随时看房,0,15,2室1厅,59.05平米,西,简装,高楼层(共9层),2002年,塔楼,1580000.0,26757
万寿路 大院管理 南向 大三房 保养新,万寿路 ,前进路,VR看装修 房本满五年 随时看房,7,8个月以前发布,3室1厅,107.06平米,东南南,其他,中楼层(共9层),,暂无数据,2380000.0,22231
江南西 南北通透 地铁盘 明亮两房 高实用率 一少 唯一,江南西路 ,江南西,近地铁 VR看装修 房本满两年 随时看房,2,3个月以前发布,2室1厅,30.79平米,南北,精装,中楼层(共8层),,板楼,1190000.0,38649
海富花园二期安静 原装电梯 实用两房 准双地铁口200米,海富花园 ,江燕路,近地铁 VR房源 房本满五年,12,11个月以前发布,2室1厅,49.41平米,南,简装,中楼层(共10层),2006年,塔楼,2000000.0,40478
江南西中楼层两房加装电梯在走申请流程，南北对流,江南西路 ,江南西,VR看装修 房本满五年,12,一年前发布,2室2厅,68.18平米,北,简装,中楼层(共8层),,塔楼,2350000.0,34468
江南西路 2室1厅 东南,江南西路 ,江南西,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,2室1厅,67.46平米,东南,简装,中楼层(共18层),,塔楼,2500000.0,37059
近江边，大院管理，马赛克外墙。,滨江西路 ,滨江西,近地铁 VR看装修 房本满五年,0,22,2室1厅,71.88平米,东南,精装,高楼层(共9层),,塔楼,1980000.0,27546
昌岗地铁 小区复式大两房 原三房 旺中带静 电梯已公示,海外花园 ,昌岗,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.94平米,东南,精装,高楼层(共9层),2001年,塔楼,2650000.0,28210
税局宿舍 江边200米 家门口是十号线地铁站 滨江东路站,怡乐路13号大院 ,滨江东,VR看装修 房本满五年,1,2个月以前发布,2室1厅,55.58平米,南,简装,低楼层(共9层),2002年,塔楼,1400000.0,25189
精装修一房一厅原装电梯       。,保利丰花园 ,洪德,近地铁 VR看装修 房本满五年,1,4个月以前发布,1室1厅,42.88平米,东,其他,中楼层(共32层),1997年,塔楼,1230000.0,28685
此房满五年 电梯平层 位置光线好 业主急*,荔福路 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,0,4个月以前发布,2室1厅,49.6平米,东南,其他,中楼层(共9层),,塔楼,1480000.0,29839
原装电梯 装修保养新净 南北通风采光好,海外花园 ,昌岗,近地铁 VR看装修 房本满五年,3,1个月以前发布,1室1厅,56.66平米,南,精装,低楼层(共18层),2003年,塔楼,2030000.0,35828
加装电梯平层2房东向 户型方正采光好 小区花园管理,凤阳小区 ,江燕路,近地铁 VR看装修 房本满五年,1,30,2室1厅,58.61平米,东,其他,高楼层(共9层),2000年,塔楼,1600000.0,27300
大院管理正规两房，安静舒适交通便利,江南大道中 ,江南大道中,近地铁 VR看装修 房本满两年 随时看房,2,22,2室1厅,61.36平米,东南,简装,中楼层(共10层),,塔楼,1600000.0,26076
此房产权清晰 精装修 通风采光好 三地铁交汇,新城国际 ,金碧,近地铁 房本满五年 随时看房,2,2个月以前发布,4室1厅,67.1平米,北,简装,中楼层(共22层),,塔楼,1450000.0,21610
福苑小区，双阳台，东南靓向，带主套 离地铁600米,南田路 ,同福,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,4室2厅,126.66平米,东南,简装,中楼层(共17层),,塔楼,3930000.0,31028
大元帅旁原装三房中低层框架结构格局好有位置装电梯,前进路(海珠) ,前进路,VR看装修 房本满五年,12,一年前发布,3室1厅,79.16平米,南,简装,中楼层(共7层),,塔楼,1850000.0,23371
晓港地铁 低层厅出阳台大两房 业主诚心放卖,晓港西马路 ,昌岗,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室1厅,64.95平米,南,其他,低楼层(共6层),,板楼,1500000.0,23095
金碧花园  中楼层  安静望泳池,金碧花园第一金碧 ,金碧,近地铁 VR房源 房本满五年 随时看房,5,4个月以前发布,2室1厅,66.15平米,西北,其他,中楼层(共22层),2000年,塔楼,1800000.0,27211
琶洲西板块上车无压力一房一厅急,聚宝阁 ,赤岗,近地铁 VR看装修 房本满五年,1,1个月以前发布,1室1厅,30.67平米,东西,简装,高楼层(共9层),1997年,塔楼,720000.0,23476
东南朝向好，楼龄新环境好。证过五年,沙园 ,沙园,近地铁 VR看装修 房本满五年 随时看房,0,5个月以前发布,2室1厅,55平米,西南东北,其他,中楼层(共9层),2002年,塔楼,1250000.0,22728
环境舒适小区，近江边，一桥之隔珠江新城,海天花苑 ,滨江东,近地铁 VR房源 房本满五年,1,5,2室1厅,72.64平米,南北,简装,中楼层(共32层),2004年,塔楼,2480000.0,34141
金汇花园B区单位 安静不吵 楼龄新 封闭式管理,金汇花园 ,前进路,VR看装修 房本满五年 随时看房,5,6个月以前发布,3室1厅,86.86平米,东北,简装,9层,1997年,塔楼,2250000.0,25904
花园小区，马赛克外墙框架结构，配套齐全，生活方便,嘉丽苑 ,江南大道中,VR看装修 房本满五年 随时看房,5,7个月以前发布,2室1厅,43.33平米,西南,简装,中楼层(共9层),1998年,塔楼,1150000.0,26541
雅景苑 南向望花园 安静舒适 户型方正,雅景苑 ,滨江东,近地铁 VR看装修 房本满五年 随时看房,1,16,2室1厅,68.47平米,南,简装,高楼层(共9层),2002年,塔楼,2000000.0,29210
东区五期，高楼层精装修两房，拎包入住,金雅苑 ,滨江东,VR房源 房本满五年,9,8个月以前发布,2室1厅,67.77平米,北,精装,21层,2001年,塔楼,2780000.0,41022
地铁口50米 冇装修 正规大三房 采光美丽,江南大道中 ,江南大道中,近地铁 VR看装修 房本满五年 随时看房,4,7个月以前发布,3室1厅,81.58平米,东南南,简装,低楼层(共6层),,板楼,1850000.0,22678
泰沙路 中楼层 马赛克外墙 南北对流  全明屋 精装修,泰沙路 ,江燕路,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,53.03平米,东南,其他,中楼层(共7层),,塔楼,1350000.0,25458
保利物业 视野没遮挡 安静舒适五年唯一 安静舒适 急,保利百合花园二期 ,江燕路,近地铁 VR看装修 房本满五年 随时看房,4,4个月以前发布,2室1厅,65.33平米,东南,简装,高楼层(共15层),2004年,塔楼,2150000.0,32910
凤凰新村 小区两房 近地铁 楼龄新 精装修 适合公积金,梅园阁 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,65,一年前发布,2室1厅,48.93平米,东南,精装,中楼层(共9层),1999年,塔楼,1030000.0,21051
沙园 2室1厅 西,沙园 ,沙园,近地铁 VR看装修 随时看房,0,15,2室1厅,59.05平米,西,简装,高楼层(共9层),2002年,塔楼,1580000.0,26757
海富花园二期安静 原装电梯 实用两房 准双地铁口200米,海富花园 ,江燕路,近地铁 VR房源 房本满五年,12,11个月以前发布,2室1厅,49.41平米,南,简装,中楼层(共10层),2006年,塔楼,2000000.0,40478
江南西中楼层两房加装电梯在走申请流程，南北对流,江南西路 ,江南西,VR看装修 房本满五年,12,一年前发布,2室2厅,68.18平米,北,简装,中楼层(共8层),,塔楼,2350000.0,34468
江南西 南北通透 地铁盘 明亮两房 高实用率 一少 唯一,江南西路 ,江南西,近地铁 VR看装修 房本满两年 随时看房,2,3个月以前发布,2室1厅,30.79平米,南北,精装,中楼层(共8层),,板楼,1190000.0,38649
万寿路 大院管理 南向 大三房 保养新,万寿路 ,前进路,VR看装修 房本满五年 随时看房,7,8个月以前发布,3室1厅,107.06平米,东南南,其他,中楼层(共9层),,暂无数据,2380000.0,22231
洪德路 1室1厅 东南,洪德路 ,洪德,近地铁 VR看装修 房本满五年 随时看房,0,13,1室1厅,41.5平米,东南,其他,高楼层(共8层),,塔楼,700000.0,16868
此房产权清晰 精装修 通风采光好 三地铁交汇,新城国际 ,金碧,近地铁 房本满五年 随时看房,2,2个月以前发布,4室1厅,67.1平米,北,简装,中楼层(共22层),,塔楼,1450000.0,21610
省级 小区管理 交通便利  采光通风 满五唯一,南北广场 ,宝岗,近地铁 VR看装修 房本满五年,4,4个月以前发布,3室1厅,82.62平米,南,精装,29层,2003年,平房,2550000.0,30865
昌岗地铁 小区复式大两房 原三房 旺中带静 电梯已公示,海外花园 ,昌岗,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.94平米,东南,精装,高楼层(共9层),2001年,塔楼,2650000.0,28210
税局宿舍 江边200米 家门口是十号线地铁站 滨江东路站,怡乐路13号大院 ,滨江东,VR看装修 房本满五年,1,2个月以前发布,2室1厅,55.58平米,南,简装,低楼层(共9层),2002年,塔楼,1400000.0,25189
加装电梯平层2房东向 户型方正采光好 小区花园管理,凤阳小区 ,江燕路,近地铁 VR看装修 房本满五年,1,30,2室1厅,58.61平米,东,其他,高楼层(共9层),2000年,塔楼,1600000.0,27300
大院管理正规两房，安静舒适交通便利,江南大道中 ,江南大道中,近地铁 VR看装修 房本满两年 随时看房,2,22,2室1厅,61.36平米,东南,简装,中楼层(共10层),,塔楼,1600000.0,26076
江南西路 2室1厅 东南,江南西路 ,江南西,近地铁 VR看装修 房本满五年 随时看房,3,1个月以前发布,2室1厅,67.46平米,东南,简装,中楼层(共18层),,塔楼,2500000.0,37059
精装修一房一厅原装电梯       。,保利丰花园 ,洪德,近地铁 VR看装修 房本满五年,1,4个月以前发布,1室1厅,42.88平米,东,其他,中楼层(共32层),1997年,塔楼,1230000.0,28685
此房满五年 电梯平层 位置光线好 业主急*,荔福路 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,0,4个月以前发布,2室1厅,49.6平米,东南,其他,中楼层(共9层),,塔楼,1480000.0,29839
原装电梯 装修保养新净 南北通风采光好,海外花园 ,昌岗,近地铁 VR看装修 房本满五年,3,1个月以前发布,1室1厅,56.66平米,南,精装,低楼层(共18层),2003年,塔楼,2030000.0,35828
近江边，大院管理，马赛克外墙。,滨江西路 ,滨江西,近地铁 VR看装修 房本满五年,0,22,2室1厅,71.88平米,东南,精装,高楼层(共9层),,塔楼,1980000.0,27546
晓港地铁 低层厅出阳台大两房 业主诚心放卖,晓港西马路 ,昌岗,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室1厅,64.95平米,南,其他,低楼层(共6层),,板楼,1500000.0,23095
金碧花园  中楼层  安静望泳池,金碧花园第一金碧 ,金碧,近地铁 VR房源 房本满五年 随时看房,5,4个月以前发布,2室1厅,66.15平米,西北,其他,中楼层(共22层),2000年,塔楼,1800000.0,27211
光大花园中海锦榕湾 3室2厅 北,光大花园中海锦榕湾 ,工业大道北,近地铁 VR看装修 房本满五年,3,1个月以前发布,3室2厅,108.81平米,北,其他,中楼层(共33层),2010年,塔楼,6780000.0,62311
高楼层望中大体育馆，西南朝向视野好，靓房待靓人,珠光高派华庭 ,滨江东,近地铁 VR看装修 房本满五年,2,1个月以前发布,3室2厅,147.27平米,西南,精装,31层,2006年,塔楼,7800000.0,52964
省级 小区管理 交通便利  采光通风 满五唯一,南北广场 ,宝岗,近地铁 VR看装修 房本满五年,4,4个月以前发布,3室1厅,82.62平米,南,精装,29层,2003年,平房,2550000.0,30865
地铁口电梯新装两房，大院管理，带车位，诚意卖。,荔福路 ,工业大道北,VR房源 房本满五年,3,14,2室1厅,66.68平米,西南,精装,中楼层(共9层),1991年,塔楼,1880000.0,28195
花园式小区 低层两房两厅 格局方正 车到门前,荔福花园 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,3,11个月以前发布,2室1厅,58.93平米,东北,简装,低楼层(共9层),1996年,塔楼,1880000.0,31903
福苑小区，双阳台，东南靓向，带主套 离地铁600米,南田路 ,同福,近地铁 VR看装修 房本满五年 随时看房,1,8个月以前发布,4室2厅,126.66平米,东南,简装,中楼层(共17层),,塔楼,3930000.0,31028
晓港地铁 低层厅出阳台大两房 业主诚心放卖,晓港西马路 ,昌岗,近地铁 VR看装修 房本满五年,1,2个月以前发布,2室1厅,64.95平米,南,其他,低楼层(共6层),,板楼,1500000.0,23095
大元帅旁原装三房中低层框架结构格局好有位置装电梯,前进路(海珠) ,前进路,VR看装修 房本满五年,12,一年前发布,3室1厅,79.16平米,南,简装,中楼层(共7层),,塔楼,1850000.0,23371
大院管理，电梯两房，通风采光好，望中大校园,新港西路99号大院 ,中大,近地铁 VR看装修 房本满五年,0,1个月以前发布,2室1厅,69.21平米,东南,简装,中楼层(共9层),,塔楼,2180000.0,31499
翠城三期户型方正实用  厅出阳台  采光很好,翠城花园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,1,1个月以前发布,2室1厅,80.45平米,东,简装,高楼层(共32层),2009年,塔楼,3700000.0,45992
客村双地铁 南北对流电梯三房 校园环境优雅 层高3.0米,广东教育学院 ,客村,近地铁 VR看装修 房本满五年 随时看房,6,10个月以前发布,3室2厅,92.07平米,南,精装,低楼层(共6层),1990年,板楼,3200000.0,34757
楼下十号线地铁口 全明屋，厅出阳台一房一厅,瑞康大厦 ,新港西,近地铁 VR看装修 房本满两年,9,4个月以前发布,1室1厅,31.13平米,南,简装,中楼层(共9层),1997年,塔楼,630000.0,20238
南景园南向正规四房，采光好，楼龄新，视野开阔,南景园 ,江燕路,近地铁 VR房源 房本满五年 随时看房,0,15,4室1厅,139.33平米,东南,简装,低楼层(共18层),2001年,塔楼,5500000.0,39475
满五年还價即卖 望广州塔采光好 产权清晰随时交易,合生颐景华苑 ,东晓南,近地铁 VR房源 房本满五年 随时看房,5,一年前发布,3室1厅,89.41平米,东北,精装,高楼层(共24层),2005年,板楼,3850000.0,43061
纵横69方户型 带外阳台 2012年楼龄 500米地铁 住宅,纵横公寓 ,赤岗,近地铁 VR看装修 房本满两年 随时看房,4,一年前发布,1室1厅,69.07平米,北,精装,低楼层(共30层),2012年,塔楼,2100000.0,30404
滨江东 纯南向两房 厅出阳台 采光通风好 视野开阔,浪琴居 ,滨江东,VR房源 房本满五年 随时看房,3,一年前发布,2室1厅,69.29平米,东南,简装,28层,2001年,塔楼,3300000.0,47626
海印南苑 一手业主东南向保养新净近地铁 电梯靓楼层,海印南苑 ,东晓路,VR看装修 房本满五年,1,23,3室2厅,117.7平米,东南,精装,中楼层(共28层),2000年,塔楼,4820000.0,40952
