标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
轩逸荟三房  中国楼层 采光好 户型方正,智烨山水豪庭 ,狮岭镇,VR看装修 房本满五年 随时看房,0,6个月以前发布,3室1厅,96.56平米,南北,毛坯,中楼层(共18层),2013年,塔楼,770000.0,7975
此房南向采光通透，大阳台直连主卧，不靠马路位置安静,东方文德森岛湖 ,花城街,VR房源 房本满两年 随时看房,0,8,3室2厅,97.14平米,南,精装,低楼层(共39层),,塔楼,1150000.0,11839
雅居乐花城雅郡 4室2厅 东南 南,雅居乐花城雅郡 ,铁路西,VR看装修 随时看房,0,2个月以前发布,4室2厅,105.77平米,东南南,精装,高楼层(共33层),,暂无数据,1500000.0,14182
广州北站地铁口500米精装修3房1卫，小高层低密度洋房,豪骏名苑 ,铁路西,VR房源 房本满两年,1,3个月以前发布,3室2厅,92.57平米,南,精装,高楼层(共16层),2012年,塔楼,1190000.0,12856
融创文旅城A2  中高楼层 拎包入住,雪域澜庭A2区 ,花城街,VR看装修 房本满五年 随时看房,1,5个月以前发布,3室2厅,96.76平米,东南,精装,低楼层(共33层),2018年,塔楼,1850000.0,19120
刚需三居室  可三代同堂  户型南北对流  单边位,天马丽苑二期 ,铁路西,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,95平米,南北,其他,高楼层(共33层),2013年,塔楼,1000000.0,10527
"保利城地铁, 3房南望花园，采光好 安静舒适！",保利城 ,铁路西,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,103.61平米,南,简装,低楼层(共25层),2012年,塔楼,1000000.0,9652
天湖峰境 望湖景 高层 3房2厅1卫,峰境园 ,北兴镇,VR房源 房本满五年,3,7个月以前发布,3室1厅,97.73平米,南,其他,中楼层(共29层),2010年,塔楼,690000.0,7061
南北对流，地铁口，配套齐全、小区管理完善.,松园大厦(花都区) ,旧区,VR看装修 房本满五年,0,17,3室2厅,82.74平米,南,精装,中楼层(共8层),,暂无数据,630000.0,7615
位置好，近区府，格局方正采光好 南向小三房,碧泰豪苑 ,旧区,VR看装修 房本满五年,9,一年前发布,3室1厅,87.25平米,南,精装,中楼层(共16层),2015年,塔楼,900000.0,10316
东骏花园 区府板块 近地铁 安静不靠路,东骏花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,11个月以前发布,2室2厅,77.8平米,南,精装,低楼层(共8层),2001年,塔楼,880000.0,11312
全新装修，园芯位置，北向高层，保养很漂亮，拎包入住,富力金港城东区 ,花东镇,VR看装修 房本满五年,0,9个月以前发布,2室1厅,83.15平米,北,简装,高楼层(共11层),2014年,塔楼,730000.0,8780
东南向望河，大面积3房，楼层很好，房子保养很新。,天马河壹号 ,铁路西,近地铁 VR看装修 房本满两年,0,一年前发布,3室1厅,110.59平米,东南,精装,高楼层(共18层),2012年,塔楼,1620000.0,14649
小面积实用户型，采光好，楼距宽，华师附旁.,雪域澜庭A1区 ,花城街,VR看装修 房本满两年 随时看房,0,5个月以前发布,1室1厅,45.03平米,西,精装,低楼层(共31层),2018年,塔楼,800000.0,17766
原装电梯3房，近地铁口，生活配套完善,工会大厦 ,旧区,VR看装修 房本满五年 随时看房,0,一年前发布,3室2厅,80.42平米,北,精装,中楼层(共15层),,塔楼,830000.0,10321
岭南公馆 马鞍山旁 精装三房 配套完善成熟,岭南公馆 ,新区,VR房源 房本满五年 随时看房,1,一年前发布,3室2厅,96.67平米,西南,其他,中楼层(共18层),2010年,塔楼,1400000.0,14483
毛坯大三房 大阳台设计 户型方正 无抵押,颐和盛世 ,炭步,VR看装修 房本满五年,5,一年前发布,3室1厅,109.69平米,西南,毛坯,低楼层(共25层),2011年,塔楼,570000.0,5197
云峰学府花园 2室2厅 东,云峰学府花园 ,秀全街,VR房源 房本满五年,0,1个月以前发布,2室2厅,81.35平米,东,精装,低楼层(共15层),2016年,塔楼,850000.0,10449
华景雅苑，次新房，2016年建成的小区，此房是南北对流,华景雅苑德维轩 ,秀全街,VR看装修,0,2个月以前发布,3室2厅,117.3平米,南北,精装,高楼层(共15层),2016年,塔楼,1210000.0,10316
揽峰三房两卫，户型方正，中高楼层，视野开阔,花都颐和山庄 ,狮岭镇,VR看装修 房本满五年,3,10个月以前发布,3室2厅,107.89平米,南北,其他,高楼层(共18层),,塔楼,600000.0,5562
花都湖旁边新小区十年内电梯三房,富庄庭 ,旧区,近地铁 VR看装修 房本满五年 随时看房,0,2个月以前发布,3室1厅,95.78平米,南,精装,中楼层(共20层),2011年,塔楼,1330000.0,13886
满五唯一无按揭小区环境好房子光线很好，急卖,华侨花园 ,旧区,近地铁 VR看装修 房本满五年 随时看房,8,8个月以前发布,3室2厅,109.25平米,南,精装,高楼层(共9层),,塔楼,998000.0,9136
房子满五年 ，楼层好，视野宽阔，采光充足 地段好,美力花园 ,旧区,VR看装修 房本满五年 随时看房,1,24,3室2厅,101.56平米,南,其他,中楼层(共8层),2004年,塔楼,1150000.0,11324
楼往位置 中层南向望花园 装修保养新净 拎包入住,万科天景花园 ,铁路西,近地铁 VR看装修 房本满两年,0,2个月以前发布,4室2厅,142.59平米,南北,精装,中楼层(共25层),2008年,塔楼,1750000.0,12273
天马丽苑二期 3室2厅 东南,天马丽苑二期 ,铁路西,VR看装修 房本满两年 随时看房,0,3个月以前发布,3室2厅,123.32平米,东南,简装,低楼层(共34层),2007年,塔楼,1350000.0,10948
