标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
南向竖厅小三房，精装修，中高楼层视野无遮挡,万科山景城 ,长岭居,VR看装修 房本满两年,1,1个月以前发布,3室2厅,83.62平米,南西南,精装,高楼层(共35层),塔楼,,2200000.0,26310
花园小区，马赛克外墙框架结构，配套齐全，生活方便,嘉丽苑 ,江南大道中,VR看装修 房本满五年 随时看房,5,7个月以前发布,2室1厅,43.33平米,西南,简装,中楼层(共9层),塔楼,1998年,1150000.0,26541
房子通风采光好，格局方正，视野南向望小区园林,福景园 ,桥南,VR看装修 房本满五年,1,25,3室2厅,84.28平米,南,简装,中楼层(共8层),塔楼,2008年,1100000.0,13052
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),塔楼,1993年,1580000.0,32193
汇侨新城北区，户型方正，光线好,汇侨新城北区 ,新市,VR看装修 房本满两年 随时看房,9,一年前发布,3室2厅,88.45平米,东南,其他,高楼层(共9层),塔楼,2000年,1250000.0,14133
"保利城地铁, 3房南望花园，采光好 安静舒适！",保利城 ,铁路西,近地铁 VR看装修 房本满五年,1,2个月以前发布,3室2厅,103.61平米,南,简装,低楼层(共25层),塔楼,2012年,1000000.0,9652
杨巷路  总*低，置业首先选  视野广阔,杨巷路 ,人民路,近地铁 VR看装修 房本满五年 随时看房,29,一年前发布,1室0厅,25平米,东,简装,低楼层(共5层),板楼,1988年,380000.0,15200
康裕园 南向 三房 中楼层 框架结构可以公积金,康裕园 ,市桥,VR看装修 房本满五年,2,8个月以前发布,3室1厅,93.5平米,南,简装,中楼层(共7层),板楼,1993年,1590000.0,17006
雅景苑 南向望花园 安静舒适 户型方正,雅景苑 ,滨江东,近地铁 VR看装修 房本满五年 随时看房,1,16,2室1厅,68.47平米,南,简装,高楼层(共9层),塔楼,2002年,2000000.0,29210
碧桂园凤凰城凤盈苑 别墅 户型方正 看房方便,碧桂园凤凰城凤盈苑 ,凤凰城,VR房源,2,2个月以前发布,6室2厅,240.25平米,南,其他,1层,塔楼,2002年,6000000.0,24974
此房满五不唯一，采光通风好，楼层不错，业主诚心放卖,保利麓苑 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,3室1厅,93.61平米,东北,精装,低楼层(共33层),塔楼,,5600000.0,59823
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),塔楼,,1300000.0,24427
天湖峰境 望湖景 高层 3房2厅1卫,峰境园 ,北兴镇,VR房源 房本满五年,3,7个月以前发布,3室1厅,97.73平米,南,其他,中楼层(共29层),塔楼,2010年,690000.0,7061
东区五期，高楼层精装修两房，拎包入住,金雅苑 ,滨江东,VR房源 房本满五年,9,8个月以前发布,2室1厅,67.77平米,北,精装,21层,塔楼,2001年,2780000.0,41022
富雅名居 新塘地铁口 精装三房,富雅名居 ,新塘北,VR房源 房本满五年,6,一年前发布,3室1厅,90.16平米,东南,精装,高楼层(共9层),塔楼,2005年,720000.0,7986
户型方正，中高楼层，视野好，采光好,越秀岭南山畔 ,科学城,近地铁 VR看装修 房本满五年 随时看房,11,9个月以前发布,3室2厅,97.56平米,西南,精装,高楼层(共32层),塔楼,2014年,3750000.0,38438
地铁口50米 冇装修 正规大三房 采光美丽,江南大道中 ,江南大道中,近地铁 VR看装修 房本满五年 随时看房,4,7个月以前发布,3室1厅,81.58平米,东南南,简装,低楼层(共6层),板楼,,1850000.0,22678
融创文旅城A2  中高楼层 拎包入住,雪域澜庭A2区 ,花城街,VR看装修 房本满五年 随时看房,1,5个月以前发布,3室2厅,96.76平米,东南,精装,低楼层(共33层),塔楼,2018年,1850000.0,19120
泰沙路 中楼层 马赛克外墙 南北对流  全明屋 精装修,泰沙路 ,江燕路,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,53.03平米,东南,其他,中楼层(共7层),塔楼,,1350000.0,25458
保利物业 视野没遮挡 安静舒适五年唯一 安静舒适 急,保利百合花园二期 ,江燕路,近地铁 VR看装修 房本满五年 随时看房,4,4个月以前发布,2室1厅,65.33平米,东南,简装,高楼层(共15层),塔楼,2004年,2150000.0,32910
番禺广场东方花园，园区两房，安静不靠路,东方花园3区 ,番禺广场,近地铁 VR房源 房本满五年,1,一年前发布,2室1厅,65.5平米,南,简装,中楼层(共8层),塔楼,1995年,1180000.0,18016
急卖！！灵山岛华润瑞府南北对流四房 全新没住,华润置地·瑞府 ,明珠湾,VR看装修 随时看房,4,6个月以前发布,4室2厅,141.3平米,南北,精装,低楼层(共13层),暂无数据,,4020000.0,28451
此房满五不唯一，南北对流，有停车位，出入方便,岐山中路 ,石碁,VR看装修 房本满五年,0,1个月以前发布,3室1厅,62.42平米,南,简装,中楼层(共6层),暂无数据,,890000.0,14259
招商雍景湾 精致小三房 中高层 安静位置,招商雍景湾北区 ,知识城,近地铁 VR看装修 房本满两年,0,1个月以前发布,3室2厅,89.53平米,北,简装,高楼层(共22层),平房,,1500000.0,16755
原装电梯两房 户型方正实用 生活气息浓厚,华侨城(番禺) ,市桥,VR看装修 房本满五年 随时看房,3,1个月以前发布,2室2厅,78.9平米,西南,简装,高楼层(共11层),塔楼,1996年,1350000.0,17111
视野开阔 使用率高 负离子空气 养老度假,珠光山水御苑 ,江浦街,VR看装修,1,6个月以前发布,4室2厅,102.51平米,东北,其他,中楼层(共30层),塔楼,2016年,750000.0,7317
广州北站地铁口500米精装修3房1卫，小高层低密度洋房,豪骏名苑 ,铁路西,VR房源 房本满两年,1,3个月以前发布,3室2厅,92.57平米,南,精装,高楼层(共16层),塔楼,2012年,1190000.0,12856
锦绣新天地 116平方 三房二卫 高楼层 诚意放卖！,锦绣新天地 ,新塘南,VR看装修 房本满五年,0,3个月以前发布,3室2厅,115.89平米,北,精装,高楼层(共25层),塔楼,2012年,1240000.0,10700
凤凰新村 小区两房 近地铁 楼龄新 精装修 适合公积金,梅园阁 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,65,一年前发布,2室1厅,48.93平米,东南,精装,中楼层(共9层),塔楼,1999年,1030000.0,21051
品质好房 全新毛坯 诚心可以谈 环境好 看江边 采光好,庄士映蝶蓝湾 ,石楼,VR房源 房本满五年 随时看房,18,一年前发布,4室2厅,157.32平米,东南南,毛坯,高楼层(共20层),塔楼,2002年,2350000.0,14938
富力新居小两房，低楼层南向，近地铁，公园，有小平台,富力新居 ,南岸路,近地铁 VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,49.08平米,南,精装,低楼层(共9层),1993年,塔楼,1580000.0,32193
花园小区，马赛克外墙框架结构，配套齐全，生活方便,嘉丽苑 ,江南大道中,VR看装修 房本满五年 随时看房,5,7个月以前发布,2室1厅,43.33平米,西南,简装,中楼层(共9层),1998年,塔楼,1150000.0,26541
房子通风采光好，格局方正，视野南向望小区园林,福景园 ,桥南,VR看装修 房本满五年,1,26,3室2厅,84.28平米,南,简装,中楼层(共8层),2008年,塔楼,1100000.0,13052
南向竖厅小三房，精装修，中高楼层视野无遮挡,万科山景城 ,长岭居,VR看装修 房本满两年,1,1个月以前发布,3室2厅,83.62平米,南西南,精装,高楼层(共35层),,塔楼,2200000.0,26310
凤凰新村 小区两房 近地铁 楼龄新 精装修 适合公积金,梅园阁 ,工业大道北,近地铁 VR看装修 房本满五年 随时看房,65,一年前发布,2室1厅,48.93平米,东南,精装,中楼层(共9层),1999年,塔楼,1030000.0,21051
原装电梯房 位置安静 南北向 楼龄新 朝阳社区 精装修,文德路 ,北京路,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,29.8平米,南,其他,中楼层(共13层),,塔楼,1050000.0,35235
品质好房 全新毛坯 诚心可以谈 环境好 看江边 采光好,庄士映蝶蓝湾 ,石楼,VR房源 房本满五年 随时看房,18,一年前发布,4室2厅,157.32平米,东南南,毛坯,高楼层(共20层),2002年,塔楼,2350000.0,14938
锦绣新天地 116平方 三房二卫 高楼层 诚意放卖！,锦绣新天地 ,新塘南,VR看装修 房本满五年,0,3个月以前发布,3室2厅,115.89平米,北,精装,高楼层(共25层),2012年,塔楼,1240000.0,10700
广州北站地铁口500米精装修3房1卫，小高层低密度洋房,豪骏名苑 ,铁路西,VR房源 房本满两年,1,3个月以前发布,3室2厅,92.57平米,南,精装,高楼层(共16层),2012年,塔楼,1190000.0,12856
原装电梯两房 户型方正实用 生活气息浓厚,华侨城(番禺) ,市桥,VR看装修 房本满五年 随时看房,3,1个月以前发布,2室2厅,78.9平米,西南,简装,高楼层(共11层),1996年,塔楼,1350000.0,17111
融创文旅城A2  中高楼层 拎包入住,雪域澜庭A2区 ,花城街,VR看装修 房本满五年 随时看房,1,5个月以前发布,3室2厅,96.76平米,东南,精装,低楼层(共33层),2018年,塔楼,1850000.0,19120
急卖！！灵山岛华润瑞府南北对流四房 全新没住,华润置地·瑞府 ,明珠湾,VR看装修 随时看房,4,6个月以前发布,4室2厅,141.3平米,南北,精装,低楼层(共13层),,暂无数据,4020000.0,28451
地铁口50米 冇装修 正规大三房 采光美丽,江南大道中 ,江南大道中,近地铁 VR看装修 房本满五年 随时看房,4,7个月以前发布,3室1厅,81.58平米,东南南,简装,低楼层(共6层),,板楼,1850000.0,22678
荔湾湖旁示范街区环境优美，东南向两房,龙津西路 ,西关,近地铁 VR看装修 房本满五年 随时看房,1,一年前发布,2室1厅,53.22平米,东南,简装,中楼层(共9层),,塔楼,1300000.0,24427
泰沙路 中楼层 马赛克外墙 南北对流  全明屋 精装修,泰沙路 ,江燕路,近地铁 VR看装修 房本满五年,3,5个月以前发布,2室1厅,53.03平米,东南,其他,中楼层(共7层),,塔楼,1350000.0,25458
保利物业 视野没遮挡 安静舒适五年唯一 安静舒适 急,保利百合花园二期 ,江燕路,近地铁 VR看装修 房本满五年 随时看房,4,4个月以前发布,2室1厅,65.33平米,东南,简装,高楼层(共15层),2004年,塔楼,2150000.0,32910
此房满五不唯一，南北对流，有停车位，出入方便,岐山中路 ,石碁,VR看装修 房本满五年,0,1个月以前发布,3室1厅,62.42平米,南,简装,中楼层(共6层),,暂无数据,890000.0,14259
康裕园 南向 三房 中楼层 框架结构可以公积金,康裕园 ,市桥,VR看装修 房本满五年,2,8个月以前发布,3室1厅,93.5平米,南,简装,中楼层(共7层),1993年,板楼,1590000.0,17006
丰年华庭 芳村地*站 原装电梯大两房 装修新净,丰年华庭 ,芳村,近地铁 VR看装修 房本满五年 随时看房,2,3个月以前发布,2室1厅,74.03平米,东南,精装,低楼层(共15层),2008年,塔楼,2150000.0,29043
