标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
恒大御景半岛 奢华别墅 环境优美 业主诚心出售,恒大御景半岛紫杉湖 ,金沙洲,VR房源 房本满五年 随时看房,0,一年前发布,6室3厅,256.74平米,南北,精装,1层,塔楼,双拼别墅,10500000.0,40898
电梯大两房，东南向，格局方正，环境好,中海金沙湾A区 ,金沙洲,VR看装修 房本满五年 随时看房,5,6个月以前发布,2室2厅,83.19平米,南北,精装,低楼层(共33层),,板塔结合,1490000.0,17911
靓3房 全新未住 西南向 景观好 楼层好 业主诚心出售,新希望金沙公馆 ,金沙洲,VR看装修 随时看房,0,一年前发布,3室2厅,97平米,西南,精装,高楼层(共33层),2023年,塔楼,1850000.0,19073
满5唯一，税费少，高楼层，采光好,时代糖果一期 ,金沙洲,VR房源 房本满五年,0,2个月以前发布,1室1厅,56.99平米,东,精装,12层,,塔楼,810000.0,14214
时代糖果二期 1室1厅 南向中高楼层满五产权清晰,时代糖果二期 ,金沙洲,VR看装修 房本满五年 随时看房,1,一年前发布,1室1厅,56.96平米,南,精装,中楼层(共17层),,塔楼,860000.0,15099
万科四季花城 电梯南向三房 证过五年唯一,万科四季花城灏山美筑 ,金沙洲,VR房源 房本满五年 随时看房,8,一年前发布,3室1厅,103平米,东南,精装,低楼层(共21层),,板楼,1680000.0,16311
敏捷花城里 金沙洲 黄岐 实惠出售 电梯大两房 安静,敏捷花城里 ,金沙洲,VR看装修 房本满五年 随时看房,4,一年前发布,2室2厅,83.85平米,南,精装,低楼层(共34层),,塔楼,1150000.0,13715
万科四季花城 近广州地铁 望湖南向户型 实用电梯房,万科四季花城灏山美筑 ,金沙洲,VR看装修 房本满五年 随时看房,3,5个月以前发布,3室2厅,83.2平米,南北,精装,中楼层(共23层),,板楼,1380000.0,16587
金名都免爬坡  南向三房  保养新  南北对流,金名都 ,金沙洲,VR看装修 房本满五年 随时看房,0,2个月以前发布,3室2厅,91.55平米,东南,精装,44层,,板塔结合,1850000.0,20208
新荔湾花苑 交通便利 成熟小区 诚心出售,新荔湾花园 ,金沙洲,VR看装修 房本满五年 随时看房,0,5个月以前发布,1室1厅,32.72平米,南,精装,高楼层(共8层),1998年,塔楼,392000.0,11981
