标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
悦方城 南方公元三房 带全屋定制家具家电笋盘,万科南方公元 ,黄阁,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,88.26平米,北,精装,低楼层(共24层),塔楼,,1080000.0,12237
改善型5房，低密度，视野开阔，方正。,越秀滨海御城二区 ,金洲,VR看装修 房本满两年 随时看房,0,1个月以前发布,5室1厅,147.1平米,东南,其他,高楼层(共21层),塔楼,,4080000.0,27737
急卖！！灵山岛华润瑞府南北对流四房 全新没住,华润置地·瑞府 ,明珠湾,VR看装修 随时看房,4,6个月以前发布,4室2厅,141.3平米,南北,精装,低楼层(共13层),暂无数据,,4020000.0,28451
小区看湖、安静，此房户型采光好，东南向，使用率高。,时代南湾 ,南沙港,VR看装修 房本满五年,0,4个月以前发布,3室2厅,126.19平米,东南,精装,中楼层(共32层),板塔结合,2015年,1860000.0,14740
观海美寓 精装三房 随时可以看房,观海美寓 ,南沙湾,近地铁 VR看装修 房本满五年,0,一年前发布,2室2厅,85.74平米,西北,精装,中楼层(共17层),塔楼,,1000000.0,11664
阳光城星悦组团南向两房精装急出,阳光城丽景湾·星悦 ,进港大道,VR看装修 房本满两年 随时看房,1,一年前发布,2室1厅,74.8平米,南,精装,低楼层(共30层),塔楼,,920000.0,12300
房子满五唯一 中层通风采光好  地铁口200米中惠壁珑湾,中惠璧珑湾 ,南沙区府,近地铁 VR看装修 房本满五年,10,一年前发布,2室2厅,76.5平米,南,精装,低楼层(共31层),板塔结合,,1200000.0,15687
时代南湾精装海景湖景3房 满五年 业主诚意放卖,时代南湾 ,南沙港,VR看装修 房本满五年 随时看房,4,一年前发布,3室2厅,92.84平米,东东北,精装,中楼层(共32层),板塔结合,2013年,1260000.0,13572
C区湖边好房东南向保养好视野开阔,万科南方公元 ,黄阁,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室1厅,87.7平米,东南,其他,低楼层(共20层),塔楼,,1180000.0,13455
小区环境优美，高层南向看山景采光好，户型方正实用,富力伯爵山 ,南沙港,VR房源 房本满五年 随时看房,0,4个月以前发布,2室2厅,87.29平米,南,精装,高楼层(共11层),塔楼,,1050000.0,12029
悦城3房，过五，户型方正，楼层采光都不错,越秀滨海悦城 ,金洲,近地铁 VR房源 房本满五年 随时看房,2,31,3室1厅,117.13平米,南北,毛坯,高楼层(共31层),塔楼,2013年,2100000.0,17929
阳光城澜悦全新小区 业主诚心出房 钥匙在手 还钱就卖,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,4,3个月以前发布,3室1厅,86.95平米,北,精装,低楼层(共30层),塔楼,,1250000.0,14377
此房过五不唯一，西南朝向，视野开阔，户型方正,碧桂园天玺湾 ,进港大道,VR房源 房本满五年,0,14,3室2厅,82.84平米,西南,精装,中楼层(共17层),塔楼,2014年,1150000.0,13883
进港大道海力花园标准大三房保养好过五唯一,海力花园 ,进港大道,VR房源 房本满五年,5,9个月以前发布,3室2厅,112.45平米,东北,精装,中楼层(共11层),塔楼,2012年,1350000.0,12006
叠翠峰南向中楼层3房2卫 望湖景,叠翠峰 ,南沙区府,VR看装修 房本满五年 随时看房,3,6个月以前发布,3室2厅,108.56平米,东南,精装,中楼层(共31层),塔楼,2017年,2250000.0,20726
海力花园满五唯一税费少小区少有户型户型正一楼带院.,海力花园 ,进港大道,VR房源 房本满五年 随时看房,6,6个月以前发布,2室2厅,69.63平米,南北,其他,低楼层(共12层),塔楼,2012年,700000.0,10054
阳光城丽景湾·澜悦 3室2厅 南,阳光城丽景湾·澜悦 ,进港大道,VR房源 房本满两年 随时看房,0,3个月以前发布,3室2厅,97.34平米,南,其他,高楼层(共31层),塔楼,,1650000.0,16951
广州市南沙区南沙湾东苑，137平4房2卫，,南沙湾东苑 ,南沙港,近地铁 VR看装修 房本满五年 随时看房,2,5个月以前发布,4室2厅,137.22平米,东南,其他,中楼层(共30层),板塔结合,2017年,2480000.0,18074
进港大道背靠黄山鲁森林公园南向户型,港航华庭 ,南沙港,VR看装修 房本满两年,1,13,5室2厅,140.56平米,南北,精装,中楼层(共32层),板塔结合,,1950000.0,13874
越秀滨海新城一楼复式6房 少有户型 无欠款 看房方便,越秀滨海新城 ,进港大道,VR房源 房本满五年 随时看房,5,6个月以前发布,6室2厅,109.5平米,南,精装,低楼层(共34层),塔楼,,2500000.0,22832
金州商圈  蕉门河景在家门口  生活舒适惬意,南沙云山诗意 ,金洲,VR房源 房本满五年 随时看房,3,一年前发布,3室2厅,101.99平米,北,简装,中楼层(共18层),塔楼,2014年,1750000.0,17159
距离金洲地铁站800米的次新住宅小区，业主急卖急卖,通大旭日园 ,金洲,VR看装修 随时看房,0,4个月以前发布,2室2厅,86.42平米,西南,精装,低楼层(共24层),塔楼,,1300000.0,15043
地铁口丰庭花园 南北对流实用三房 大阳台 采光通风好,丰庭花园 ,金洲,VR房源 房本满五年 随时看房,8,1个月以前发布,3室1厅,89.98平米,南北,精装,高楼层(共11层),板楼,2005年,1060000.0,11781
逸涛雅苑3房，蕉门河旁一楼带50平花园,逸涛雅苑 ,进港大道,VR房源 房本满五年,3,一年前发布,3室1厅,69.55平米,南北,简装,低楼层(共6层),塔楼,,1010000.0,14522
南沙金茂湾优质两房空房好地段有兴趣可详谈,南沙金茂湾 ,明珠湾,房本满五年 随时看房,2,9个月以前发布,2室1厅,53.22平米,西,精装,中楼层(共10层),塔楼,2016年,630000.0,11838
难得大花园单边4拼实用便宜无缺点4房4卫别墅省2车位钱,名苑别墅 ,东涌,VR房源 房本满五年 随时看房,1,2个月以前发布,4室2厅,143.1平米,东南西南,简装,3层,板塔结合,,4200000.0,29351
南沙奥园  业主诚心放卖满五唯一随时看房,南沙奥园 ,南沙湾,近地铁 VR看装修 房本满五年 随时看房,4,1个月以前发布,3室2厅,139.2平米,南北,精装,低楼层(共9层),塔楼,2012年,1380000.0,9914
阳光城澜悦  四房南北对流 高层看蕉门河 急急卖,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,2,7个月以前发布,4室2厅,109.29平米,东南,精装,高楼层(共33层),塔楼,,2000000.0,18300
中间楼层视野好 三房一卫 全新未入住,时代香海彼岸 ,南沙湾,近地铁 VR看装修 随时看房,1,一年前发布,3室2厅,87.02平米,北,其他,中楼层(共32层),塔楼,,1380000.0,15859
碧桂园天玺高层海景三房诚意放盘,碧桂园天玺湾 ,进港大道,VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.07平米,南,精装,高楼层(共30层),板塔结合,2014年,1450000.0,15580
悦方城 南方公元三房 带全屋定制家具家电笋盘,万科南方公元 ,黄阁,VR看装修 房本满五年 随时看房,1,一年前发布,3室2厅,88.26平米,北,精装,低楼层(共24层),塔楼,,1080000.0,12237
改善型5房，低密度，视野开阔，方正。,越秀滨海御城二区 ,金洲,VR看装修 房本满两年 随时看房,0,1个月以前发布,5室1厅,147.1平米,东南,其他,高楼层(共21层),塔楼,,4080000.0,27737
金洲近地铁的次新小区，全屋定制精装修，保养很好,越秀天珹 ,金洲,VR看装修 房本满两年,4,3个月以前发布,3室2厅,88.88平米,东北,其他,高楼层(共49层),塔楼,,1650000.0,18565
南沙湾精装三房两卫，看房方便！,碧桂园海湾1号 ,南沙港,VR看装修 房本满两年,0,1个月以前发布,3室2厅,96.64平米,东南,精装,低楼层(共32层),塔楼,,1390000.0,14384
碧桂园天玺湾南向三房 安静  保养好 拎包入住,碧桂园天玺湾 ,进港大道,VR看装修 房本满五年 随时看房,1,2个月以前发布,3室2厅,93.18平米,东南,其他,低楼层(共27层),板塔结合,2014年,1400000.0,15025
碧桂园豪庭南向两房 保养好 金隆没有占用,南沙碧桂园豪庭 ,金洲,VR房源 房本满五年 随时看房,6,1个月以前发布,2室1厅,85.4平米,东南,精装,中楼层(共18层),塔楼,2012年,1190000.0,13935
急卖！！灵山岛华润瑞府南北对流四房 全新没住,华润置地·瑞府 ,明珠湾,VR看装修 随时看房,4,6个月以前发布,4室2厅,141.3平米,南北,精装,低楼层(共13层),暂无数据,,4020000.0,28451
悦城3房，过五，户型方正，楼层采光都不错,越秀滨海悦城 ,金洲,近地铁 VR房源 房本满五年 随时看房,2,31,3室1厅,117.13平米,南北,毛坯,高楼层(共31层),塔楼,2013年,2100000.0,17929
C区湖边好房东南向保养好视野开阔,万科南方公元 ,黄阁,VR看装修 房本满五年 随时看房,1,1个月以前发布,3室1厅,87.7平米,东南,其他,低楼层(共20层),塔楼,,1180000.0,13455
小区环境优美，高层南向看山景采光好，户型方正实用,富力伯爵山 ,南沙港,VR房源 房本满五年 随时看房,0,4个月以前发布,2室2厅,87.29平米,南,精装,高楼层(共11层),塔楼,,1050000.0,12029
房子满五唯一 中层通风采光好  地铁口200米中惠壁珑湾,中惠璧珑湾 ,南沙区府,近地铁 VR看装修 房本满五年,10,一年前发布,2室2厅,76.5平米,南,精装,低楼层(共31层),板塔结合,,1200000.0,15687
观海美寓 精装三房 随时可以看房,观海美寓 ,南沙湾,近地铁 VR看装修 房本满五年,0,一年前发布,2室2厅,85.74平米,西北,精装,中楼层(共17层),塔楼,,1000000.0,11664
时代南湾精装海景湖景3房 满五年 业主诚意放卖,时代南湾 ,南沙港,VR看装修 房本满五年 随时看房,4,一年前发布,3室2厅,92.84平米,东东北,精装,中楼层(共32层),板塔结合,2013年,1260000.0,13572
阳光城星悦组团南向两房精装急出,阳光城丽景湾·星悦 ,进港大道,VR看装修 房本满两年 随时看房,1,一年前发布,2室1厅,74.8平米,南,精装,低楼层(共30层),塔楼,,920000.0,12300
小区看湖、安静，此房户型采光好，东南向，使用率高。,时代南湾 ,南沙港,VR看装修 房本满五年,0,4个月以前发布,3室2厅,126.19平米,东南,精装,中楼层(共32层),板塔结合,2015年,1860000.0,14740
南沙金茂湾优质两房空房好地段有兴趣可详谈,南沙金茂湾 ,明珠湾,房本满五年 随时看房,2,9个月以前发布,2室1厅,53.22平米,西,精装,中楼层(共10层),塔楼,2016年,630000.0,11838
广州市南沙区南沙湾东苑，137平4房2卫，,南沙湾东苑 ,南沙港,近地铁 VR看装修 房本满五年 随时看房,2,5个月以前发布,4室2厅,137.22平米,东南,其他,中楼层(共30层),板塔结合,2017年,2480000.0,18074
阳光城丽景湾·澜悦 3室2厅 南,阳光城丽景湾·澜悦 ,进港大道,VR房源 房本满两年 随时看房,0,3个月以前发布,3室2厅,97.34平米,南,其他,高楼层(共31层),塔楼,,1650000.0,16951
进港大道背靠黄山鲁森林公园南向户型,港航华庭 ,南沙港,VR看装修 房本满两年,1,13,5室2厅,140.56平米,南北,精装,中楼层(共32层),板塔结合,,1950000.0,13874
海力花园满五唯一税费少小区少有户型户型正一楼带院.,海力花园 ,进港大道,VR房源 房本满五年 随时看房,6,6个月以前发布,2室2厅,69.63平米,南北,其他,低楼层(共12层),塔楼,2012年,700000.0,10054
南沙奥园  业主诚心放卖满五唯一随时看房,南沙奥园 ,南沙湾,近地铁 VR看装修 房本满五年 随时看房,4,1个月以前发布,3室2厅,139.2平米,南北,精装,低楼层(共9层),塔楼,2012年,1380000.0,9914
阳光城澜悦  四房南北对流 高层看蕉门河 急急卖,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,2,7个月以前发布,4室2厅,109.29平米,东南,精装,高楼层(共33层),塔楼,,2000000.0,18300
难得大花园单边4拼实用便宜无缺点4房4卫别墅省2车位钱,名苑别墅 ,东涌,VR房源 房本满五年 随时看房,1,2个月以前发布,4室2厅,143.1平米,东南西南,简装,3层,板塔结合,,4200000.0,29351
阳光城澜悦全新小区 业主诚心出房 钥匙在手 还钱就卖,阳光城丽景湾·澜悦 ,进港大道,VR看装修 房本满两年 随时看房,4,3个月以前发布,3室1厅,86.95平米,北,精装,低楼层(共30层),塔楼,,1250000.0,14377
地铁口丰庭花园 南北对流实用三房 大阳台 采光通风好,丰庭花园 ,金洲,VR房源 房本满五年 随时看房,8,1个月以前发布,3室1厅,89.98平米,南北,精装,高楼层(共11层),板楼,2005年,1060000.0,11781
金州商圈  蕉门河景在家门口  生活舒适惬意,南沙云山诗意 ,金洲,VR房源 房本满五年 随时看房,3,一年前发布,3室2厅,101.99平米,北,简装,中楼层(共18层),塔楼,2014年,1750000.0,17159
距离金洲地铁站800米的次新住宅小区，业主急卖急卖,通大旭日园 ,金洲,VR看装修 随时看房,0,4个月以前发布,2室2厅,86.42平米,西南,精装,低楼层(共24层),塔楼,,1300000.0,15043
越秀滨海新城一楼复式6房 少有户型 无欠款 看房方便,越秀滨海新城 ,进港大道,VR房源 房本满五年 随时看房,5,6个月以前发布,6室2厅,109.5平米,南,精装,低楼层(共34层),塔楼,,2500000.0,22832
逸涛雅苑3房，蕉门河旁一楼带50平花园,逸涛雅苑 ,进港大道,VR房源 房本满五年,3,一年前发布,3室1厅,69.55平米,南北,简装,低楼层(共6层),塔楼,,1010000.0,14522
碧桂园天玺高层海景三房诚意放盘,碧桂园天玺湾 ,进港大道,VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.07平米,南,精装,高楼层(共30层),板塔结合,2014年,1450000.0,15580
户型方正 楼层适中 配套齐全 看房方便,碧桂园蜜柚 ,进港大道,VR看装修 房本满五年 随时看房,0,5个月以前发布,3室2厅,88.58平米,南北,精装,中楼层(共27层),2018年,塔楼,1400000.0,15805
叠翠峰一期中高楼层，看凤举湖景观好，有钥匙、无抵押,叠翠峰 ,南沙区府,近地铁 VR看装修 房本满两年 随时看房,1,3个月以前发布,3室1厅,110平米,东南,其他,中楼层(共31层),2017年,板楼,2400000.0,21819
碧桂园天玺高层海景三房诚意放盘,碧桂园天玺湾 ,进港大道,VR房源 房本满五年 随时看房,4,一年前发布,3室1厅,93.07平米,南,精装,高楼层(共30层),2014年,板塔结合,1450000.0,15580
