标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
倚莲半岛花园 中间楼层 户型方正 通风采光好,倚莲半岛花园 ,莲花山,VR看装修 房本满五年,0,1个月以前发布,2室2厅,88.9平米,南,简装,中楼层(共16层),2014年,塔楼,1300000.0,14624
房子通风采光好，格局方正，视野南向望小区园林,福景园 ,桥南,VR看装修 房本满五年,1,25,3室2厅,84.28平米,南,简装,中楼层(共8层),2008年,塔楼,1100000.0,13052
品质好房 全新毛坯 诚心可以谈 环境好 看江边 采光好,庄士映蝶蓝湾 ,石楼,VR房源 房本满五年 随时看房,18,一年前发布,4室2厅,157.32平米,东南南,毛坯,高楼层(共20层),2002年,塔楼,2350000.0,14938
番禺广场东方花园，园区两房，安静不靠路,东方花园3区 ,番禺广场,近地铁 VR房源 房本满五年,1,一年前发布,2室1厅,65.5平米,南,简装,中楼层(共8层),1995年,塔楼,1180000.0,18016
原装电梯两房 户型方正实用 生活气息浓厚,华侨城(番禺) ,市桥,VR看装修 房本满五年 随时看房,3,1个月以前发布,2室2厅,78.9平米,西南,简装,高楼层(共11层),1996年,塔楼,1350000.0,17111
此房满五不唯一，南北对流，有停车位，出入方便,岐山中路 ,石碁,VR看装修 房本满五年,0,1个月以前发布,3室1厅,62.42平米,南,简装,中楼层(共6层),,暂无数据,890000.0,14259
康裕园 南向 三房 中楼层 框架结构可以公积金,康裕园 ,市桥,VR看装修 房本满五年,2,8个月以前发布,3室1厅,93.5平米,南,简装,中楼层(共7层),1993年,板楼,1590000.0,17006
鸿城花园 近地铁交通便利 两房改小三房,鸿城花园 ,市桥,近地铁 VR看装修 房本满两年 随时看房,1,1个月以前发布,3室1厅,78.4平米,西北北,精装,低楼层(共28层),2000年,塔楼,1590000.0,20281
顺德碧桂园芷兰湾 4室2厅 东 东北,顺德碧桂园芷兰湾 ,顺德碧桂园,VR看装修 房本满五年,0,19,4室2厅,102.5平米,东东北,精装,低楼层(共11层),2009年,塔楼,1180000.0,11513
西区电梯高层，采光好，望花园，视野开阔，安静舒适,锦绣半岛西区 ,南浦,VR房源 房本满五年,1,16,2室1厅,86.61平米,南,精装,中楼层(共18层),2009年,塔楼,1780000.0,20552
交通方便、小区安静、物业服务好，通风采光好,东方花园又一村 ,番禺广场,近地铁 VR房源 房本满五年 随时看房,0,一年前发布,3室2厅,142.6平米,南,精装,低楼层(共15层),2002年,塔楼,2680000.0,18794
丽江花园丽字楼南向电梯高层视野开阔采光充足,丽江花园丽茹楼 ,南浦,近地铁 VR看装修 房本满五年,0,1个月以前发布,3室2厅,87.64平米,东南,其他,高楼层(共9层),1993年,塔楼,1790000.0,20425
银都大厦  温馨小三房 可用公积金 地铁100米,银都大厦 ,市桥,近地铁 VR房源 房本满五年 随时看房,11,9个月以前发布,3室2厅,86.1平米,东南,精装,低楼层(共28层),1998年,塔楼,1530000.0,17771
祈福青怡居 南向大两房 低层 通风采光好 证过五年,祈福新村青怡居 ,祈福新村,VR房源 房本满两年 随时看房,2,2个月以前发布,2室2厅,68.9平米,南,简装,中楼层(共5层),2001年,板楼,1380000.0,20030
此房满五不唯一 格局好 视野开阔 采光充足,珠江花园 ,厦滘,近地铁 VR看装修 房本满五年,1,3个月以前发布,2室1厅,90.14平米,东北,其他,中楼层(共28层),2010年,塔楼,2270000.0,25184
满五唯一  次新装修  拎包入住 诚心出卖,华进明苑 ,洛溪,近地铁 VR看装修 房本满五年,4,一年前发布,3室1厅,95.97平米,西南,精装,高楼层(共6层),2001年,塔楼,1900000.0,19798
近番禺广场小区管理，实用精装三房，东城配套,德安新村 ,市桥,近地铁 VR看装修 房本满五年 随时看房,18,一年前发布,3室2厅,72.3平米,南,精装,中楼层(共7层),1993年,塔楼,1100000.0,15215
面山望海，出门仲元，南向方正，小区清雅，诚心卖,凯德山海连城二期 ,莲花山,VR房源,31,2个月以前发布,3室2厅,109.33平米,东南南,精装,32层,,板塔结合,2210000.0,20215
对流户型，通风采光好，景观靓。,祈福新村天湖居 ,祈福新村,VR看装修 房本满五年,1,一年前发布,3室2厅,97.85平米,西北,其他,高楼层(共17层),2003年,板楼,1880000.0,19214
雄峰城 复式 上下两层 中高楼层,雄峰城 ,钟村,房本满五年 随时看房,0,一年前发布,2室1厅,60.78平米,东南,简装,中楼层(共27层),2007年,塔楼,670000.0,11024
东南向精装修三房，阳台看小区园林跟游泳池  居住舒,亚运城天峯1区 ,亚运城,VR看装修 房本满两年,0,31,3室2厅,103.81平米,东南南,精装,高楼层(共50层),,塔楼,2290000.0,22060
南北对流阳台南向望公园奥园广场配套齐,奥园广场 ,桥南,房本满五年 随时看房,0,5个月以前发布,2室1厅,110.39平米,南北,精装,低楼层(共26层),2010年,塔楼,830000.0,7519
"电梯四房,中高层，视野开阔，南北对流，通风采光好。",时代柏林 ,桥南,VR房源 随时看房,2,2个月以前发布,4室2厅,127.37平米,南,精装,高楼层(共32层),,暂无数据,4400000.0,34546
离地铁口约300米 一线望江 高层 方正对流 采光通风好,锦绣半岛西区 ,南浦,VR看装修,6,一年前发布,5室2厅,282.77平米,东南西北,精装,中楼层(共26层),2009年,塔楼,5880000.0,20795
近地铁两房，通风好，采光足，户型方正，安静舒适,亚运城媒体村(南区) ,亚运城,近地铁 VR房源 房本满五年,1,9个月以前发布,2室2厅,91.76平米,东南南,精装,中楼层(共22层),2010年,塔楼,1980000.0,21579
祈福缤纷汇两房，通风采光好，近D铁，满五唯一,祈福缤纷汇 ,祈福新村,近地铁 VR看装修 房本满五年 随时看房,5,一年前发布,2室1厅,55.67平米,西,精装,33层,2017年,塔楼,1550000.0,27843
北丽园 中楼层 装修好 满五年税费低,北丽园 ,市桥,近地铁 VR房源 房本满五年,3,一年前发布,2室1厅,53.81平米,南,简装,中楼层(共7层),1995年,板楼,960000.0,17841
南向3房过五年唯一省税 南向光线通风好 户型方正,祈福新村康怡居 ,祈福新村,VR房源 房本满五年,9,9个月以前发布,3室1厅,87.76平米,南,其他,高楼层(共6层),2002年,塔楼,1500000.0,17093
倚莲半岛花园 户型方正 通风采光好 看房方便 急,倚莲半岛花园 ,莲花山,VR房源 房本满五年 随时看房,2,5个月以前发布,3室2厅,126.06平米,南,其他,低楼层(共16层),2014年,塔楼,1510000.0,11979
中间楼层 看花园  可四房  随时可看房,海伦堡流金岁月 ,桥南,VR看装修 房本满五年 随时看房,0,4个月以前发布,3室2厅,114.5平米,西南,精装,中楼层(共28层),2009年,塔楼,3480000.0,30394
倚莲半岛花园 中间楼层 户型方正 通风采光好,倚莲半岛花园 ,莲花山,VR看装修 房本满五年,0,1个月以前发布,2室2厅,88.9平米,南,简装,中楼层(共16层),2014年,塔楼,1300000.0,14624
海怡花园 南向光线好 每间房都是南向,海怡花园 ,厦滘,VR房源 房本满五年 随时看房,0,1个月以前发布,2室2厅,101.7平米,南北,精装,中楼层(共11层),2000年,塔楼,3000000.0,29499
房子通风采光好，格局方正，视野南向望小区园林,福景园 ,桥南,VR看装修 房本满五年,1,26,3室2厅,84.28平米,南,简装,中楼层(共8层),2008年,塔楼,1100000.0,13052
品质好房 全新毛坯 诚心可以谈 环境好 看江边 采光好,庄士映蝶蓝湾 ,石楼,VR房源 房本满五年 随时看房,18,一年前发布,4室2厅,157.32平米,东南南,毛坯,高楼层(共20层),2002年,塔楼,2350000.0,14938
