标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
珠江新城，东区，小户型，诚心卖,力迅上筑 ,珠江新城东,近地铁 房本满五年 随时看房,7,一年前发布,1室0厅,26.53平米,西,精装,低楼层(共6层),2005年,塔楼,880000.0,33170
世纪绿洲一期小四房 户型方正实用 位置安静,保利世纪绿洲一期 ,龙洞,近地铁 VR看装修 房本满五年,1,一年前发布,4室2厅,98.16平米,南北,精装,中楼层(共6层),2003年,板楼,4900000.0,49919
沙河地铁口 精装修 上车无压力,先烈东二横路 ,沙河,近地铁 VR房源 房本满五年,2,一年前发布,1室0厅,29.7平米,南北,精装,中楼层(共5层),1990年,板楼,800000.0,26937
天河**心 小面积户型总*低 麻雀虽小五脏俱全,禺东西路大洲地 ,沙河,近地铁 VR看装修 房本满五年 随时看房,51,一年前发布,1室1厅,25.87平米,东,精装,高楼层(共6层),,板楼,730000.0,28219
小区管理安静舒适配套齐全交通便利,公路局大院 ,沙河,近地铁 VR房源 随时看房,0,6个月以前发布,1室1厅,29.97平米,南,简装,低楼层(共9层),1990年,塔楼,860000.0,28696
住家改一房精装修，保养好，大院管理,公路局大院 ,沙河,近地铁 VR看装修 房本满五年,7,5个月以前发布,1室0厅,25.18平米,南北,简装,低楼层(共9层),1990年,塔楼,750000.0,29786
大院保安管理 电梯南向上下方便 专人管理居住舒服,天河区离退休干部第二休养所 ,体育中心,近地铁 VR看装修 房本满五年,2,1个月以前发布,4室2厅,102.33平米,南,简装,高楼层(共8层),1997年,板楼,4990000.0,48764
华农西门 建材校内电梯高层四房实用率高 南北对流,广东建材学校宿舍 ,五山,近地铁 VR看装修 房本满两年 随时看房,4,3个月以前发布,4室2厅,106.23平米,南,简装,高楼层(共9层),1997年,塔楼,3780000.0,35584
美林湖畔花园高层4房景视野好  业主诚心放卖,美林湖畔花园 ,东圃,近地铁 VR看装修 房本满五年 随时看房,2,1个月以前发布,4室2厅,90.79平米,北,简装,高楼层(共11层),2005年,塔楼,5000000.0,55073
此房满五，次新小区，精装3房，绿化好，宜居,天健上城 ,广氮,VR看装修 房本满五年,14,2个月以前发布,4室2厅,102.99平米,南北,精装,低楼层(共9层),2016年,塔楼,4600000.0,44665
后天河北 原装电梯 东南向大三房 视野好 证过五年 笋,兴禺大厦 ,林和,近地铁 VR看装修 房本满五年,0,9个月以前发布,4室1厅,94.28平米,东南,简装,中楼层(共33层),2002年,塔楼,3300000.0,35003
金建苑满五 户型方正 高实用率,金建苑 ,燕塘,近地铁 VR看装修 房本满五年,2,一年前发布,4室1厅,91.21平米,东,简装,中楼层(共9层),1995年,塔楼,3000000.0,32892
次新楼，方正大一房一厅，厅出阳台。业主有心卖,财富世纪广场 ,珠江新城东,房本满五年,0,一年前发布,1室1厅,98.18平米,南,其他,中楼层(共28层),2009年,塔楼,4800000.0,48890
珠江新城北   广州中轴线   电梯复式一房一厅,富星商贸大厦 ,天河南,房本满两年,6,一年前发布,1室1厅,26.53平米,北,其他,低楼层(共30层),,塔楼,980000.0,36940
交通便利 户型通透采光好 小区封闭式管理 有电梯,聚侨苑 ,天河南,近地铁 VR房源 房本满五年,1,10个月以前发布,4室2厅,93.34平米,西,精装,低楼层(共9层),1999年,塔楼,4850000.0,51961
