标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,楼况,年份,总价,单价
中楼层 南向 格局方正 交通便利,大新路 ,解放南,近地铁 VR看装修 房本满五年,1,1个月以前发布,4室1厅,78.26平米,南,简装,中楼层(共9层),塔楼,,1990000.0,25429
原装电梯楼高层楼龄新视野好方正实用采光好交通便利,金湾畔大厦 ,越秀南,VR看装修 房本满五年,0,1个月以前发布,1室1厅,47.17平米,北,精装,高楼层(共41层),塔楼,2009年,2250000.0,47700
西门口九年升知Y舒适独立大院采光好一梯两户,净慧路 ,西门口,近地铁 VR房源 房本满五年 随时看房,8,7个月以前发布,2室1厅,53.1平米,东,简装,中楼层(共8层),塔楼,,1180000.0,22223
采光通风好 交通便利 配套成熟 环境优美,解放中路 ,公园前,近地铁 VR看装修 房本满五年 随时看房,12,4个月以前发布,2室1厅,32.65平米,南西南,简装,高楼层(共9层),塔楼,,690000.0,21134
环球广场 有独立卫生间 西门口单间 全新装修家私免费,环球广场 ,西华路,近地铁 房本满两年,2,10个月以前发布,1室1厅,29.01平米,东,精装,高楼层(共15层),塔楼,,500000.0,17236
署前小大院环境管理，安静东南向楼层好全明屋采光很好,教工新村 ,东山口,近地铁 VR看装修 房本满五年 随时看房,0,3个月以前发布,3室1厅,51.34平米,东南南,精装,低楼层(共8层),塔楼,1996年,3400000.0,66226
寺右二马路精装带主套南向三房 配套成熟 交通方便,寺右二马路 ,五羊新城,近地铁 VR看装修 房本满五年,3,9个月以前发布,3室1厅,76.02平米,南北,其他,低楼层(共9层),塔楼,1989年,3480000.0,45778
高层南向望江  楼下地铁站 原装电梯 住宅性质 视野好,锦源国际公寓 ,北京路,VR看装修 房本满五年,1,1个月以前发布,1室1厅,37.93平米,南,其他,中楼层(共37层),塔楼,1997年,1199900.0,31635
朝天 商品房，石米框架 顶楼带天台，细积总j低,朝天路 ,西门口,近地铁 VR看装修 房本满五年 随时看房,1,2个月以前发布,2室1厅,37.4平米,东,简装,高楼层(共9层),塔楼,,1120000.0,29947
原装电梯房 位置安静 南北向 楼龄新 朝阳社区 精装修,文德路 ,北京路,近地铁 VR看装修 房本满五年,3,一年前发布,1室1厅,29.8平米,南,其他,中楼层(共13层),塔楼,,1050000.0,35235
此房满五不唯一，采光通风好，楼层不错，业主诚心放卖,保利麓苑 ,淘金,近地铁 VR看装修 房本满五年 随时看房,2,9个月以前发布,3室1厅,93.61平米,东北,精装,低楼层(共33层),塔楼,,5600000.0,59823
省府旁省一级小北本bu+越秀公园天然氧吧+精装三房,应元路 ,小北,VR看装修 房本满五年 随时看房,3,9个月以前发布,3室2厅,76.03平米,东南,简装,低楼层(共6层),板楼,,3830000.0,50375
都府小区 广中路校址 两房 框架 过五唯一,都府社区 ,公园前,近地铁 VR房源 房本满五年 随时看房,2,1个月以前发布,2室1厅,32.02平米,北,其他,中楼层(共9层),塔楼,1998年,1300000.0,40600
湖滨苑 低楼层 实用两房 有钥匙随时看房,湖滨小区 ,东湖,近地铁 VR房源 房本满五年 随时看房,4,一年前发布,2室1厅,48.2平米,南,简装,中楼层(共6层),塔楼,,1720000.0,35685
共和西小区 3室1厅 东,共和西小区 ,杨箕,近地铁 VR看装修 房本满两年,2,22,3室1厅,99.8平米,东,简装,高楼层(共31层),塔楼,,8000000.0,80161
