标题,小区名,位置,标签,关注人数,发布时间,房间类型,面积,朝向,装修,楼层,年份,楼况,总价,单价
锦绣新天地 116平方 三房二卫 高楼层 诚意放卖！,锦绣新天地 ,新塘南,VR看装修 房本满五年,0,3个月以前发布,3室2厅,115.89平米,北,精装,高楼层(共25层),2012年,塔楼,1240000.0,10700
碧桂园凤凰城凤盈苑 别墅 户型方正 看房方便,碧桂园凤凰城凤盈苑 ,凤凰城,VR房源,2,2个月以前发布,6室2厅,240.25平米,南,其他,1层,2002年,塔楼,6000000.0,24974
南向两房，看小区花园、视野开阔，采光充足，配套齐全,合汇学府名郡 ,白江,VR看装修 房本满两年 随时看房,3,一年前发布,2室1厅,81.73平米,东南,精装,高楼层(共32层),2018年,塔楼,1090000.0,13337
二期中层精装三房 保养好看花园位置安静,顺欣花园 ,新塘北,VR看装修 房本满五年 随时看房,3,7个月以前发布,3室2厅,98.65平米,北,精装,中楼层(共20层),,塔楼,1100000.0,11151
富雅名居 新塘地铁口 精装三房,富雅名居 ,新塘北,VR房源 房本满五年,6,一年前发布,3室1厅,90.16平米,东南,精装,高楼层(共9层),2005年,塔楼,720000.0,7986
锦绣新天地 4房 业主诚心出手,锦绣新天地 ,新塘南,VR看装修 房本满两年 随时看房,0,11个月以前发布,4室1厅,132平米,南,精装,中楼层(共11层),2007年,塔楼,1580000.0,11970
宏达北路 2室1厅 南,宏达北路 ,新塘南,VR看装修 房本满五年,0,1个月以前发布,2室1厅,73.87平米,南,简装,中楼层(共6层),,暂无数据,395000.0,5348
区府城芯，丽江楼房地铁口专梯专户契税1.5%江景房，,创基丽江国际 ,增城区府,VR看装修 房本满五年 随时看房,1,8个月以前发布,3室2厅,130.27平米,南,精装,高楼层(共36层),2017年,塔楼,2290000.0,17579
东方名都 五房大平层 位置好 中高楼层 视野好,东方名都花园 ,白江,近地铁 VR房源 房本满五年 随时看房,34,一年前发布,5室1厅,204.03平米,南北,毛坯,30层,2013年,板楼,3450000.0,16910
金时花园2房，上车盘，首付低，月供低。,金时花园 ,荔城增江,VR看装修 房本满两年 随时看房,2,3个月以前发布,2室1厅,80.28平米,南,其他,高楼层(共18层),2017年,板塔结合,550000.0,6852
南向望花园，厨房带天然气，民水民电,汇东国际花园 ,白江,近地铁 VR看装修 房本满五年,9,7个月以前发布,1室0厅,41.59平米,南,简装,中楼层(共26层),2011年,塔楼,423000.0,10171
低楼层，全新未住 上下楼梯方便 业主诚意卖房,广州万科城 ,永宁,VR看装修 随时看房,8,6个月以前发布,3室2厅,95.31平米,南,精装,低楼层(共34层),,板塔结合,850000.0,8919
富雅都市华庭 3室2厅 北,富雅都市华庭 ,新塘北,VR看装修 房本满两年 随时看房,4,6个月以前发布,3室2厅,109.36平米,北,其他,低楼层(共11层),,塔楼,988000.0,9035
香滨高层望湖，视野开阔，保养好安静,金地香山湖 ,永宁,VR看装修 随时看房,2,2个月以前发布,3室2厅,99.84平米,东南,精装,中楼层(共32层),,暂无数据,930000.0,9315
广州敏捷绿湖首府 3室2厅 东北,广州敏捷绿湖首府 ,石滩镇,VR房源 随时看房,0,9个月以前发布,3室2厅,91.27平米,东北,精装,高楼层(共32层),2019年,塔楼,670000.0,7341
南北对流大四房，装修保养好，带2个车位，,碧桂园豪进左岸 ,石滩镇,VR看装修 房本满两年 随时看房,4,9个月以前发布,4室2厅,142.76平米,南,其他,低楼层(共21层),2018年,塔楼,1080000.0,7566
安静舒适两房，环境优美，有车位,碧桂园映象 ,福和镇,VR房源 房本满五年,3,9个月以前发布,2室1厅,73.52平米,南,其他,中楼层(共17层),2017年,塔楼,430000.0,5849
三大房含两大露台  拎包入住 配套成熟 智能小区,绿地珑玥府 ,荔城增江,VR看装修 房本满两年,0,3个月以前发布,4室2厅,115.18平米,南,精装,高楼层(共31层),,塔楼,1200000.0,10419
西福蓝湾好楼层两房，全新未入住，业主诚意出,西福蓝湾 ,朱村,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,2室1厅,69.98平米,北,其他,中楼层(共26层),2017年,塔楼,650000.0,9289
地铁口快线1站黄埔5站天河南向望花园边位安静隐私性好,保利中航城二期 ,朱村,近地铁 VR房源 房本满两年 随时看房,0,1个月以前发布,4室2厅,106.2平米,东南南,精装,低楼层(共13层),2019年,板塔结合,1320000.0,12430
锦绣新天地 三房 东南向 安静望花园 近出口！,锦绣新天地 ,新塘南,VR房源 房本满五年 随时看房,0,2个月以前发布,3室1厅,91.05平米,东南,简装,中楼层(共16层),2009年,塔楼,910000.0,9995
中高楼层，通风采光好，大型小区配套完善，交通便利,尚东阳光 ,沙村,近地铁 VR看装修 房本满五年 随时看房,0,1个月以前发布,3室1厅,107.76平米,南,精装,中楼层(共30层),2016年,塔楼,1600000.0,14848
中层南向！户型方正实用！大阳台江景！,保利东江首府 ,新塘南,VR看装修 房本满五年,0,15,3室2厅,120.36平米,南北,精装,中楼层(共32层),2012年,塔楼,1820000.0,15122
房子正南向，过五唯一，小区环境优美，,豪进山湖珺璟 ,白江,VR看装修 房本满五年,9,一年前发布,3室2厅,94.79平米,南北,简装,中楼层(共33层),2013年,塔楼,1450000.0,15297
科教城板块 保利中航城 复式南向三房两卫,保利中航城二期 ,朱村,近地铁 VR房源 房本满两年,1,一年前发布,3室2厅,96.28平米,南,其他,高楼层(共13层),2019年,板塔结合,1050000.0,10906
